***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,FolHerbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,40.52,,,,,,System Temp (C):,40.3,,,,,,,
Humidity (%):,41.43,,,,,,Humidity (%):,42.8,,,,,,,
Lamp ADC:,3068,3082,844,842,,,Lamp ADC:,3069,3082,845,842,,,,
Data Date-Time:,2025/04/03T11:57:06,,,,,,Data Date-Time:,2025/04/03T11:51:03,,,,,,,
Total Measurement Time in sec:,6.4684643,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-4.78706677830951,0.0420606707536571,-9.21439965724389E-05,,,,,
Serial Number:,C23R001,(95UB125GC0VC23R001),,,,,Pixel to Wavelength Coefficients:,1777.69850932213,-0.910890781979712,-0.000240535926235214,,,,,
GUI Version:,3.13.1,Revision:,930,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,12min 0sec ,,,,,,,
UUID:,DE:67:0C:88:67:3E:75:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,F,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,C,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.868887283122,0.291088402358002,105591,54018
904.747472781646,0.287209975991423,113752,58715
909.912185107076,0.279757556446872,124858,65563
913.780668096698,0.277727332816112,134919,71178
917.644821439648,0.276544111347953,147809,78191
921.504645135925,0.273880405945086,163495,87021
925.36013918553,0.270138063879572,181777,97589
929.211303588463,0.267942731518217,202568,109302
933.058138344724,0.264254348548333,224788,122326
938.180516347137,0.260300902776734,252755,138803
942.017248594496,0.258149369807754,271298,149726
945.849651195182,0.255552714616306,288683,160276
949.677724149196,0.253230673352265,304760,170109
953.501467456539,0.25088248740037,320385,179800
957.320881117208,0.248334926578539,335473,189375
961.135965131206,0.24642573057387,350672,198827
966.216008810601,0.243483099279173,370762,211647
970.020990315697,0.241524629171791,385722,221182
973.821642174121,0.23952209886342,399975,230415
977.617964385872,0.237778193536369,413483,239155
981.409956950951,0.236403556220762,426650,247553
985.197619869358,0.234353363112619,438312,255523
988.980953141092,0.232288168722601,448289,262585
994.01866249747,0.229901850732584,460463,271202
997.791893260303,0.228442710319299,467997,276567
1001.56079437646,0.226679840132021,474462,281528
1005.32536584595,0.225205391146431,480009,285788
1009.08560766877,0.223263344093584,484636,289836
1012.84151984491,0.22203764054254,488299,292852
1016.59310237438,0.220309538061093,490266,295204
1021.58847740774,0.218241736034004,491924,297616
1025.32995742831,0.217155411796661,493155,299108
1029.06710780221,0.215433586035467,493176,300309
1032.79992852944,0.214607280617636,492232,300305
1036.52841960999,0.213026347834533,490610,300407
1040.25258104387,0.211795505744058,489500,300578
1043.97241283108,0.210387194368347,488722,301075
1047.68791497161,0.208917383402607,488365,301875
1052.63518281973,0.207690127434232,487366,302110
1056.34058245136,0.206544277113071,487731,303135
1060.04165243632,0.20569560068489,489642,304918
1063.73839277461,0.204872131990182,492606,307346
1067.43080346623,0.203809623294882,494066,309012
1071.11888451118,0.20299153398776,492442,308577
1074.80263590945,0.201806440878895,487855,306538
1079.70756943455,0.200015790559835,482757,304588
1083.38121832392,0.199363465202133,482053,304601
1087.05053756662,0.1983858001028,482447,305537
1090.71552716264,0.196871582411066,482516,306648
1094.376187112,0.19630360687571,484615,308385
1098.03251741468,0.195608722558426,486782,310260
1101.68451807069,0.194735110024732,489081,312353
1106.54711727277,0.194238843792318,492531,314916
1110.18901541988,0.193256222420916,494737,317043
1113.82658392031,0.192849704753266,497626,319193
1117.45982277408,0.192344041397158,500057,321126
1121.08873198117,0.191709804291764,502434,323124
1124.71331154159,0.192078208817302,504994,324495
1128.33356145534,0.190823955605058,507670,327158
1133.1538263344,0.191071700550735,511346,329339
1136.76397373924,0.190488718989634,513986,331484
1140.36979149742,0.190074317364388,516264,333271
1143.97127960892,0.190230307388448,518870,334833
1147.56843807374,0.190159061458041,521769,336759
1151.1612668919,0.19022303699883,524911,338737
1154.74976606338,0.190766317830042,527869,340220
1159.52769661943,0.190335004894187,531916,343169
1163.10609328201,0.190417033065334,534683,344889
1166.68016029792,0.190767780707807,538305,346945
1170.24989766716,0.190992817831153,541934,349103
1173.81530538972,0.19140985174013,546288,351570
1177.37638346562,0.191078729464218,550702,354681
1180.93313189484,0.191133226201994,554807,357280
1185.66872812787,0.191712290416779,562560,361790
1189.21537404818,0.191334817308238,567877,365527
1192.75769032183,0.191578758370844,573632,369024
1196.29567694881,0.19099745615123,579616,373373
1199.82933392911,0.191165087925226,586325,377549
1203.35866126274,0.190735931998395,593379,382469
1206.8836589497,0.19031801277235,599766,386958
1211.57692085971,0.18982182600397,608957,393337
1215.09181603776,0.188839407192151,616568,399155
1218.60238156915,0.188394154184413,624289,404568
1222.10861745386,0.187438745368544,631869,410382
1225.6105236919,0.186358193504062,639038,416072
1229.10810028326,0.185599156778822,646807,421867
1232.60134722796,0.184409933180244,653457,427373
1236.09026452598,0.183958388121659,660580,432481
1240.73541925074,0.18286106031793,673329,441943
1244.21423403986,0.18195485824627,684528,450232
1247.68871918231,0.181755366140983,696204,458122
1251.15887467809,0.181008707796656,707524,466372
1254.62470052719,0.180549886628272,718681,474227
1258.08619672962,0.179914714890601,729077,481791
1261.54336328538,0.179614709269198,739398,488949
1266.14618368713,0.179139086349215,752004,497830
1269.59324773399,0.178748195997218,760926,504190
1273.03598213417,0.178391889420571,770244,510783
1276.47438688769,0.177979748845839,777950,516383
1279.90846199453,0.177820523386111,785508,521591
1283.3382074547,0.176999959315434,792040,526923
1286.76362326819,0.176605449861626,798636,531794
1291.32410934692,0.176254816510509,806036,537155
1294.73942265151,0.175878103916914,810709,540738
1298.15040630944,0.175728603184839,815782,544309
1301.55706032069,0.175538117061355,819950,547330
1304.95938468526,0.17523378223512,823482,550073
1308.35737940317,0.175026253474347,825773,551867
1311.7510444744,0.175108169642524,828696,553716
1316.26919623011,0.174970491744694,830884,555354
1319.65275879245,0.175020981039889,831832,555923
1323.03199170811,0.175233094399584,832680,556218
1326.40689497709,0.175343245854669,833020,556304
1329.77746859941,0.17575448430258,832739,555590
1333.14371257505,0.175998581217751,831688,554577
1336.50562690402,0.176496402333984,831151,553584
1340.98144433671,0.177589475989411,829600,551162
1344.33325615678,0.178428782130288,827700,548838
1347.68073833018,0.179387164191637,824562,545552
1351.0238908569,0.180552631441877,821469,542049
1354.36271373695,0.181258133218974,816713,538036
1357.69720697033,0.18210493361035,812780,534402
1361.02737055704,0.183219282456731,808008,529903
1365.46085366672,0.184159490021972,804209,526271
1368.78091474452,0.185296542926065,802369,523694
1372.09664617566,0.186081828993526,800165,521312
1375.40804796012,0.186669455515571,795746,517732
1378.71512009791,0.187487912012173,789697,512829
1382.01786258902,0.188887552728259,783700,507297
1385.31627543347,0.190154231854648,778171,502251
1388.61035863124,0.191778173102925,771242,495921
1392.99573455567,0.19507405210439,759645,484771
1396.27971524454,0.197800639436233,749761,475469
1399.55936628673,0.2009795731926,740444,466136
1402.83468768226,0.204908281693831,733838,457817
1406.10567943111,0.209973343497571,729893,450076
1409.3723415333,0.215752577970843,727036,442388
1412.6346739888,0.221386204490789,724463,435141
1416.97771559022,0.229417863888122,722364,425930
1420.22994553682,0.234843225401753,721280,420011
1423.47784583676,0.239851373789961,720442,414713
1426.72141649002,0.244920711211479,719552,409394
1429.96065749661,0.248770679277244,718726,405315
1433.19556885653,0.251532063237063,718137,402416
1436.42615056978,0.253650307263792,717486,400095
1440.72685784817,0.25628295331831,717661,397774
1443.94733705251,0.257006700120065,716908,396695
1447.16348661018,0.257534649224506,715540,395457
1450.37530652118,0.257875790191556,714248,394433
1453.58279678551,0.257666412865107,712387,393595
1456.78595740317,0.257649917054761,710722,392690
1459.98478837415,0.257514485255781,708597,391638
1464.24316132953,0.257023161509893,704662,389904
1467.43188979161,0.256842858547039,701956,388568
1470.61628860702,0.256349508717196,698557,387126
1473.79635777575,0.255334947158219,695566,386370
1476.97209729782,0.254365945653626,691995,385245
1480.14350717321,0.253417473846159,688564,384173
1483.31058740193,0.252337514565051,684948,383107
1487.52662603429,0.250677697319218,679986,381788
1490.68360375411,0.249862914505698,676148,380346
1493.83625182725,0.248515991085129,671901,379131
1496.98457025372,0.247152272586469,667489,377826
1500.12855903353,0.246117725975999,662880,376112
1503.26821816666,0.244604688217041,658669,375027
1506.40354765311,0.243559974018656,654008,373270
1510.57725196245,0.24152929193807,647614,371353
1513.70247894001,0.240223816960979,642704,369647
1516.82337627089,0.239176517787548,637040,367274
1519.9399439551,0.237645832967142,632092,365708
1523.05218199264,0.236386364811484,626751,363671
1526.16009038351,0.235431854949588,620763,360989
1529.2636691277,0.234692684427521,614868,358170
1532.36291822522,0.233936791880338,608817,355263
1536.48851534932,0.233302397109902,600168,350728
1539.57766193794,0.232668762699128,593292,347216
1542.66247887988,0.232288115933018,586756,343692
1545.74296617516,0.231800199288781,579895,340055
1548.81912382376,0.231242981621163,572775,336311
1551.89095182569,0.230511024320404,565086,332356
1554.95845018095,0.229549058543281,557479,328609
1559.04171298203,0.228967040049056,546784,322737
1562.09910882838,0.228829281199636,539006,318247
1565.15217502807,0.228153715688943,531054,314040
1568.20091158108,0.227925975219182,522673,309246
1571.24531848742,0.227576298311429,514467,304636
1574.28539574709,0.226940839549044,505612,299831
1577.32114336008,0.226496890389875,496947,294994
1581.36207183814,0.225220113772953,485249,288898
1584.38771694224,0.22439800358765,476306,284111
1587.40903239966,0.223609351641428,467324,279260
1590.42601821041,0.223444140334076,458349,274001
1593.43867437448,0.222280069768269,448627,268909
1596.44700089189,0.221492462699477,439859,264132
1599.45099776262,0.220116907582493,430382,259261
1603.44959191766,0.218749626741997,417649,252384
1606.44348627949,0.217469230899037,408805,247769
1609.43305099465,0.217320577601563,399483,242202
1612.41828606314,0.216075798436064,389868,237051
1615.39919148495,0.215197258248687,380514,231832
1618.37576726009,0.214769585025389,371203,226382
1621.34801338856,0.213818944744328,361872,221175
1625.30427322059,0.212343264060788,349625,214417
1628.26641684016,0.212574849025095,340336,208609
1631.22423081305,0.212198589870225,330900,203001
1634.17771513927,0.211401615997464,321517,197607
1637.12686981883,0.211803397883696,312623,191963
1640.0716948517,0.211862240241837,303352,186245
1643.01219023791,0.211970130615596,294084,180510
1646.92611574692,0.212264623515016,282190,173092
1649.85650862422,0.212316485523989,273393,167676
1652.78257185485,0.213633976266793,264586,161783
1655.70430543881,0.214693041156204,256143,156239
1658.6217093761,0.215189215324299,247471,150777
1661.53478366672,0.216924228880193,238403,144673
1664.44352831066,0.217800552718986,229296,138866
1668.31511949665,0.219634612094931,216059,130298
1671.21376163169,0.219953084578257,205282,123708
1674.10807412006,0.222289593820875,193186,115794
1676.99805696176,0.223378669985504,179436,107283
1679.88371015678,0.223480154156671,164204,98153
1682.76503370514,0.226439668099428,147848,87776
1685.64202760682,0.226441131403144,130245,77325
1688.51469186182,0.227949181223933,113106,66917
1692.33817586257,0.231487803617023,92330,54182
1695.20073760867,0.23563608745126,78928,45877
1698.05896970811,0.235965668489199,67380,39135
1700.91287216087,0.236812338277218,57468,33313
