***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,FolHerbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,40,,,,,,System Temp (C):,39.77,,,,,,,
Humidity (%):,42.63,,,,,,Humidity (%):,43.47,,,,,,,
Lamp ADC:,3083,3086,851,854,,,Lamp ADC:,3083,3086,851,853,,,,
Data Date-Time:,2025/04/03T11:13:16,,,,,,Data Date-Time:,2025/04/03T11:07:08,,,,,,,
Total Measurement Time in sec:,6.4748244,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-2.27453457587495,0.0384893477179632,-0.000120883834660424,,,,,
Serial Number:,C23R004,(95UB125GC0VC23R004),,,,,Pixel to Wavelength Coefficients:,1773.06832862561,-0.918144602406657,-0.000240533803363975,,,,,
GUI Version:,3.13.1,Revision:,930,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,10min 24sec ,,,,,,,
UUID:,DE:67:0C:88:67:66:73:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,F,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,C,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.860912737931,0.270288279508305,117790,63215
904.749703961815,0.268423339195144,126677,68277
909.9280239805,0.266259208521107,138540,75044
913.806712784643,0.2653421460157,149349,81070
917.681071980326,0.265276823863548,162222,88071
921.551101567548,0.264730956207011,177966,96740
925.41680154631,0.262557584563684,196506,107354
929.278171916611,0.262160003079218,217860,119129
933.135212678451,0.260665263529426,240217,131807
936.987923831831,0.260098740868669,262304,144114
942.118137089843,0.257733916439952,288415,159325
945.960745823482,0.257643898185451,305576,168840
949.79902494866,0.256474787713921,321429,178078
953.632974465377,0.255035433630158,335515,186499
957.462594373634,0.254310705171582,349198,194429
961.287884673431,0.253751549836022,362458,202072
965.108845364766,0.253293264209444,374975,209271
970.196724673387,0.252340325696177,391206,218809
974.007582944981,0.251621255772315,402807,225671
977.814111608115,0.251471709539344,414286,232182
981.616310662789,0.251197027794715,424700,238169
985.414180109002,0.250585253220305,434033,243746
989.207719946754,0.250013020213193,442579,248873
992.996930176046,0.249324294158425,450441,253696
996.781810796877,0.249679238641141,457775,257616
1001.82158334482,0.248377755631769,466229,263161
1005.59636154591,0.24773687884856,471558,266562
1009.36681013854,0.247966377516805,475972,268915
1013.13292912271,0.246976246601509,479642,271607
1016.89471849842,0.246440176409239,482950,273818
1020.65217826567,0.246095791247562,484964,275178
1024.40530842446,0.245891567294541,486797,276348
1028.15410897478,0.245494603849342,488524,277582
1033.14577476206,0.244972084211907,489661,278563
1036.88447289264,0.244234679360992,490178,279331
1040.61884141477,0.243821420944954,490385,279715
1044.34888032843,0.243148967458986,490470,280197
1048.07458963364,0.243134140595177,489298,279537
1051.79596933038,0.242767397515965,488056,279063
1055.51301941866,0.24258277744749,486485,278283
1059.22573989848,0.241920743315145,485442,278110
1064.16929892509,0.241371939841142,484686,278028
1067.87191698517,0.24137462534382,485470,278476
1071.57020543679,0.241327348818377,486280,278971
1075.26416427995,0.241042604821347,487867,280065
1078.95379351464,0.240398904961491,489143,281214
1082.63909314088,0.240564210856193,491118,282242
1086.32006315866,0.240358751440882,494152,284120
1091.22128823587,0.239676464472816,496759,286068
1094.89215583391,0.240050281979544,500847,288174
1098.55869382348,0.239217941748161,504249,290688
1102.2209022046,0.23940644710254,507852,292638
1105.87878097725,0.239558639561259,511884,294858
1109.53233014145,0.239030584710056,515602,297361
1113.18154969718,0.239253472360087,520058,299777
1116.82643964446,0.239498551475249,523811,301770
1121.67955796099,0.239762197288417,528895,304514
1125.31434548853,0.239815477706723,533141,306921
1128.9448034076,0.239458773185407,536907,309343
1132.57093171821,0.239795248647153,541511,311754
1136.19273042036,0.240199105800189,546024,314060
1139.81019951405,0.240513899123947,550138,316197
1143.42333899928,0.240477747433092,554144,318526
1147.03214887605,0.241178430269582,558888,320735
1151.83716043191,0.241681470901609,564724,323709
1155.43586788894,0.241816764290371,569322,326243
1159.03024573751,0.242966958748061,574207,328172
1162.62029397761,0.243377759285504,579353,330800
1166.20601260926,0.243624270036232,584359,333469
1169.78740163244,0.244322945632165,589328,335764
1173.36446104717,0.245026528313329,594712,338283
1176.93719085343,0.245393939863612,600837,341478
1181.69409564862,0.246618668635406,608346,344772
1185.25672303515,0.246936368609738,615065,348325
1188.81502081321,0.246779675458388,621240,351949
