***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,FolHerbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,37.83,,,,,,System Temp (C):,37.27,,,,,,,
Humidity (%):,48.04,,,,,,Humidity (%):,48.59,,,,,,,
Lamp ADC:,3083,3085,851,854,,,Lamp ADC:,3083,3085,851,853,,,,
Data Date-Time:,2025/04/03T10:12:58,,,,,,Data Date-Time:,2025/04/03T10:09:40,,,,,,,
Total Measurement Time in sec:,6.4697568,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-2.27453457587495,0.0384893477179632,-0.000120883834660424,,,,,
Serial Number:,C23R004,(95UB125GC0VC23R004),,,,,Pixel to Wavelength Coefficients:,1773.06832862561,-0.918144602406657,-0.000240533803363975,,,,,
GUI Version:,3.13.1,Revision:,930,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,5min 12sec ,,,,,,,
UUID:,DE:67:0C:88:67:66:73:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,F,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,C,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.860912737931,0.207924967517776,117505,72800
904.749703961815,0.206556283963179,126741,78770
909.9280239805,0.203293661213832,138410,86671
913.806712784643,0.20146011987524,149267,93865
917.681071980326,0.198437499168467,162334,102795
921.551101567548,0.196193606658986,178666,113723
925.41680154631,0.194057907824703,197455,126302
929.278171916611,0.192107448279436,219019,140726
933.135212678451,0.18992421343776,241502,155954
936.987923831831,0.187797477998405,263400,170930
942.118137089843,0.186501310391577,289170,188214
945.960745823482,0.184095107161784,305765,200121
949.79902494866,0.182151741489065,320937,210993
953.632974465377,0.180659071523177,335431,221281
957.462594373634,0.179528242958012,348928,230785
961.287884673431,0.177667612348327,361568,240172
965.108845364766,0.177069068022153,374396,249036
970.196724673387,0.175371113275748,390462,260740
974.007582944981,0.174642968930671,402200,269029
977.814111608115,0.173544715416974,413205,277090
981.616310662789,0.172988947209907,423565,284401
985.414180109002,0.171971193288018,433175,291536
989.207719946754,0.171381544863919,441600,297610
992.996930176046,0.170093060455162,449516,303845
996.781810796877,0.168912455996335,456316,309281
1001.82158334482,0.167678021325232,464750,315894
1005.59636154591,0.166741443825176,470082,320208
1009.36681013854,0.166048614494611,474363,323640
1013.13292912271,0.165351975767997,478164,326757
1016.89471849842,0.164837194915373,481047,329117
1020.65217826567,0.163731014109968,483003,331298
1024.40530842446,0.162962442628508,485032,333279
1028.15410897478,0.162432608903474,486839,334929
1033.14577476206,0.161426331789941,487715,336310
1036.88447289264,0.160897108957042,488358,337164
1040.61884141477,0.160289014247314,488975,338063
1044.34888032843,0.159773681410501,488960,338454
1048.07458963364,0.159097409198701,487941,338275
1051.79596933038,0.158186366913129,486360,337887
1055.51301941866,0.157358259098534,484560,337279
1059.22573989848,0.157110510924364,483929,337032
1064.16929892509,0.155987804897103,483241,337424
1067.87191698517,0.155670868202685,483833,338084
1071.57020543679,0.155072097117411,484727,339176
1075.26416427995,0.15407314701956,485879,340765
1078.95379351464,0.154016791031215,487474,341928
1082.63909314088,0.153553252652068,489657,343826
1086.32006315866,0.153365531587978,492459,345943
1091.22128823587,0.1531470516973,495572,348305
1094.89215583391,0.152877420849864,499115,351013
1098.55869382348,0.152429823998754,502831,353991
1102.2209022046,0.151862835902243,506218,356841
1105.87878097725,0.152135803550248,510447,359596
1109.53233014145,0.152005222455607,514196,362346
1113.18154969718,0.15178562969342,518350,365458
1116.82643964446,0.151708841997207,521927,368045
1121.67955796099,0.151892542884018,527319,371690
1125.31434548853,0.152142125613421,531452,374388
1128.9448034076,0.152938115930759,535412,376487
1132.57093171821,0.153370892176155,539936,379290
1136.19273042036,0.154283333140286,544287,381544
1139.81019951405,0.155141694830974,548537,383764
1143.42333899928,0.156025331308534,552778,385945
1147.03214887605,0.156851121460248,557066,388200
1151.83716043191,0.158119810158629,563340,391427
1155.43586788894,0.158865003629838,568001,393989
1159.03024573751,0.159779767832069,572325,396153
1162.62029397761,0.161148053271971,577402,398410
1166.20601260926,0.162208035919082,582753,401122
1169.78740163244,0.163579693633433,587982,403445
1173.36446104717,0.164844428096106,593310,405917
1176.93719085343,0.165954057671557,599416,409048
1181.69409564862,0.16739292199759,607076,412905
1185.25672303515,0.168315475042124,613291,416247
1188.81502081321,0.168802843572895,619955,420298
1192.36898898281,0.169282314490941,626957,424576
1195.91862754395,0.169097053585551,633903,429463
1199.46393649663,0.168989168711772,641239,434541
1203.00491584085,0.168623946988737,648771,440015
1206.54156557661,0.16806686342266,655679,445271
1211.25036361113,0.167013382748138,665757,453213
1214.77691092715,0.165752304065789,673233,459635
1218.29912863471,0.164510225628242,680998,466268
1221.8170167338,0.163123573492699,688564,472956
1225.33057522444,0.161609468122519,696242,479900
1228.83980410662,0.160084798925507,702978,486247
1232.34470338033,0.159140558989806,709736,491990
1237.01116746546,0.157896314801018,718294,499351
1240.50596431943,0.157019143293878,724166,504451
1243.99643156495,0.156163906373521,730405,509800
1247.482569202,0.155795771499801,738202,515679
1250.96437723059,0.154942176500074,746702,522643
1254.44185565073,0.154696142850764,754935,528705
1257.9150044624,0.154577977649862,763219,534652
1261.38382366561,0.153678482424729,771220,541377
1266.00218099006,0.154029970176097,781438,548106
1269.46089777353,0.153444112029222,786924,552699
1272.91528494854,0.153518424994755,793669,557341
1276.36534251509,0.153316129203492,799733,561861
1279.81107047318,0.153055100470305,805062,565945
1283.2524688228,0.152669225841107,810059,569964
1286.68953756397,0.152286659180984,814364,573498
1290.12227669668,0.152345379743903,819067,576732
1294.69252726046,0.151913318029231,823773,580623
1298.11516397342,0.151916345870982,826910,582830
1301.53347107793,0.151632819375558,829742,585208
1304.94744857397,0.151874130740786,832473,586808
1308.35709646156,0.151896290929426,834662,588321
1311.76241474068,0.152237207974277,836158,588913
1315.16340341134,0.15225183668895,837917,590132
1318.56006247354,0.152784274649484,839188,590303
1323.08220627665,0.153263416121201,839982,590210
1326.46876291911,0.15411645331253,840256,589244
1329.85098995311,0.154646787086406,840279,588541
1333.22888737865,0.155422203675962,840183,587424
1336.60245519573,0.156589469458418,839477,585355
1339.97169340435,0.157852940757776,838281,582823
1343.33660200451,0.159345092951266,836845,579829
1347.81641185822,0.161536861109311,834756,575470
1351.17121803864,0.16330304339593,831739,571063
1354.52169461059,0.164952796750611,827419,565943
1357.86784157409,0.166653620633107,824237,561563
1361.20965892912,0.16838862212738,821272,557312
1364.5471466757,0.169880163583164,818712,553670
1367.88030481381,0.17163881917159,816848,550177
1371.20913334347,0.173161580885537,815526,547364
1375.64083643651,0.175648698597198,812121,541966
1378.95956254642,0.177730952874404,807103,536041
1382.27395904787,0.180022570041848,801380,529439
1385.58402594086,0.183288778073895,796498,522271
1388.88976322539,0.186786459353715,791216,514646
1392.19117090146,0.190830385687474,784194,505351
1395.48824896907,0.19561794865968,776781,495086
1398.78099742822,0.200737267331165,770954,485614
1403.16459376059,0.209525120909367,764917,472160
1406.4472398,0.216980082863113,761248,461898
1409.72555623094,0.22497368394011,758666,451936
1412.99954305343,0.23344493171383,756848,442144
1416.26920026746,0.24147153137203,754659,432792
1419.53452787302,0.249205825624015,753078,424262
1422.79552587013,0.255969822169545,751460,416808
1426.05219425877,0.261998012480129,750503,410539
1430.38768383047,0.268601908167327,749431,403766
1433.63424979937,0.272812423236211,748675,399467
1436.87648615981,0.275562265860544,747527,396337
1440.11439291179,0.277751787072027,747459,394308
1443.34797005532,0.279026146887702,746298,392542
1446.57721759038,0.279803159963678,744848,391079
1449.80213551698,0.280476035154937,743773,389910
1453.02272383511,0.280816931430497,742448,388910
1457.31010664614,0.281217984970251,739469,386992
1460.52059254454,0.281221519743146,737054,385725
1463.72674883448,0.281073146145898,734468,384503
1466.92857551595,0.280927136419615,731374,383012
1470.12607258897,0.280358672348771,728085,381789
1473.31924005352,0.279521144202,724442,380612
1476.50807790962,0.279165677664605,721221,379230
1480.75312677125,0.278186384070209,715959,377313
1483.93186220761,0.278074223945131,712147,375401
1487.1062680355,0.277509892823435,707255,373307
1490.27634425493,0.277614456349177,702972,370957
1493.44209086591,0.27744986408534,698326,368645
1496.60350786842,0.276764405015933,692886,366351
1499.76059526247,0.275959605631636,687635,364249
1502.91335304806,0.275037817359171,682400,362244
1507.11029514902,0.27334642161708,674863,359641
1510.25295051487,0.271780200297501,668868,357734
1513.39127627226,0.270280743600974,662605,355610
1516.52527242119,0.269080023500734,655989,353034
1519.65493896165,0.266570374576461,649850,351757
1522.78027589366,0.264798638129382,642886,349410
1525.90128321721,0.263743349366616,635768,346382
1529.01796093229,0.262256808919917,628922,343827
1533.16679627258,0.260024489085842,618735,340001
1536.27337156793,0.258428730137808,610457,336687
1539.37561725481,0.257593329971408,602742,333072
1542.47353333323,0.256676797009255,594806,329381
1545.5671198032,0.254877225084821,586000,325852
1548.6563766647,0.25400858514709,577659,321857
1551.74130391774,0.25294389748653,568913,317762
1554.82190156232,0.251922909412276,559609,313301
1558.92263014194,0.250823876663027,547184,307121
1561.99312536678,0.250786465973913,538379,302205
1565.05929098316,0.250207937691087,528361,296977
1568.12112699108,0.249452370432938,519184,292327
1571.17863339054,0.249645400131321,509708,286864
1574.23181018153,0.249210690222246,500053,281712
1577.28065736407,0.248450575435365,490131,276606
1580.32517493815,0.247322513147314,480348,271790
1584.37779675709,0.246422983722344,467361,264990
1587.41221191143,0.245702750032492,457420,259784
1590.4422974573,0.245098701232202,447335,254410
1593.46805339471,0.243280175655183,436879,249506
1596.48947972367,0.2425567807886,427499,244556
1599.50657644416,0.241381349361393,417585,239532
1602.5193435562,0.240543031421788,407965,234466
1606.52963142574,0.238902090437418,395187,227982
1609.53229611804,0.237878625588475,385579,222964
1612.53063120187,0.236864674912208,375710,217765
1615.52463667724,0.236845505799771,366322,212333
1618.51431254415,0.236591571174906,356704,206879
1621.4996588026,0.235323131098763,346650,201636
1624.48067545259,0.235052193262333,337290,196314
1627.45736249411,0.234713289298858,327540,190788
1631.41954360299,0.234281676596939,314861,183585
1634.38612822478,0.234017820146392,305510,178241
1637.3483832381,0.234134687942866,296478,172925
1640.30630864297,0.233103302508439,287250,167941
1643.25990443938,0.233085323864893,278529,162849
1646.20917062732,0.234399894261671,270257,157535
1649.15410720681,0.235166230786659,261607,152224
1652.09471417783,0.235048749537163,252743,147106
1656.00878852603,0.237168419429792,240941,139554
1658.93929307732,0.23921336599096,231868,133668
1661.86546802014,0.240474350755713,222064,127645
1664.7873133545,0.243148111936657,212117,121179
1667.7048290804,0.245582197252463,200394,113842
1670.61801519784,0.248323315636624,188285,106290
1673.52687170682,0.249585749150181,173956,97916
1676.43139860734,0.251070451077242,158333,88818
1680.29736619487,0.255668040350777,136213,75605
1683.19179067565,0.259422737313414,119570,65796
1686.08188554796,0.262128587150547,103545,56624
1688.96765081182,0.263614154796244,88982,48494
1691.84908646722,0.26637465185357,76047,41182
1694.72619251415,0.272868954825931,64814,34578
1697.59896895263,0.272055700748307,55514,29672
1701.42260259077,0.278287447741119,45906,24187
