***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,FolHerbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,38.93,,,,,,System Temp (C):,38.87,,,,,,,
Humidity (%):,45.42,,,,,,Humidity (%):,45.29,,,,,,,
Lamp ADC:,3083,3086,851,854,,,Lamp ADC:,3083,3085,852,854,,,,
Data Date-Time:,2025/04/03T10:26:42,,,,,,Data Date-Time:,2025/04/03T10:23:50,,,,,,,
Total Measurement Time in sec:,6.4597163,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-2.27453457587495,0.0384893477179632,-0.000120883834660424,,,,,
Serial Number:,C23R004,(95UB125GC0VC23R004),,,,,Pixel to Wavelength Coefficients:,1773.06832862561,-0.918144602406657,-0.000240533803363975,,,,,
GUI Version:,3.13.1,Revision:,930,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,6min 43sec ,,,,,,,
UUID:,DE:67:0C:88:67:66:73:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,F,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,C,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.860912737931,0.220037043328538,118093,71152
904.749703961815,0.216496819714143,126806,77027
909.9280239805,0.217998644788395,138842,84047
913.806712784643,0.215323209134983,149679,91167
917.681071980326,0.214131100334305,162824,99446
921.551101567548,0.212550291538473,178732,109560
925.41680154631,0.211682618659811,197499,121306
929.278171916611,0.210845929847762,219030,134790
933.135212678451,0.209258851341505,241419,149112
936.987923831831,0.208535043921972,263106,162778
942.118137089843,0.206966530182452,289393,179689
945.960745823482,0.205284267174975,306207,190867
949.79902494866,0.204953523182936,321676,200662
953.632974465377,0.203289255570701,335936,210362
957.462594373634,0.202112794668311,349364,219364
961.287884673431,0.200598651913498,362235,228240
965.108845364766,0.200022419294161,375162,236699
970.196724673387,0.198776871044143,391406,247657
974.007582944981,0.197809513605016,402843,255462
977.814111608115,0.197444221414924,414170,262866
981.616310662789,0.196231327946883,424249,270016
985.414180109002,0.19521615506646,434018,276880
989.207719946754,0.193979529649733,442364,283009
992.996930176046,0.193535939613719,450449,288476
996.781810796877,0.192401353030324,457257,293602
1001.82158334482,0.191264711662739,466115,300074
1005.59636154591,0.190609024978582,470969,303657
1009.36681013854,0.189521298515431,475410,307289
1013.13292912271,0.188663691789116,479339,310441
1016.89471849842,0.187801592750137,482056,312821
1020.65217826567,0.187320349519347,484573,314803
1024.40530842446,0.186324556751818,486203,316587
1028.15410897478,0.186038162715801,487959,317940
1033.14577476206,0.18516714878944,489020,319271
1036.88447289264,0.18450699808818,489568,320115
1040.61884141477,0.183818467397127,490156,321008
1044.34888032843,0.183408805837,490121,321288
1048.07458963364,0.182810484803371,488910,320936
1051.79596933038,0.181897040231256,487524,320700
1055.51301941866,0.181598463503198,485884,319841
1059.22573989848,0.18105088156594,485117,319739
1064.16929892509,0.180104971238441,484437,319987
1067.87191698517,0.179483211368325,484843,320714
1071.57020543679,0.178556223368882,485802,322035
1075.26416427995,0.178123358003054,487345,323380
1078.95379351464,0.177590208930758,488752,324712
1082.63909314088,0.177409591379824,490932,326296
1086.32006315866,0.17656288537994,493380,328563
1091.22128823587,0.176262281691412,496550,330903
1094.89215583391,0.176041805219164,500535,333728
1098.55869382348,0.175174494434081,503985,336700
1102.2209022046,0.174786349800026,507779,339538
1105.87878097725,0.174464295003788,511690,342407
1109.53233014145,0.173860698060366,515413,345378
1113.18154969718,0.173788935918774,519625,348258
