***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,FolHerbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,42.02,,,,,,System Temp (C):,41.94,,,,,,,
Humidity (%):,42.1,,,,,,Humidity (%):,43.68,,,,,,,
Lamp ADC:,3077,3079,831,849,,,Lamp ADC:,3077,3078,831,849,,,,
Data Date-Time:,2025/04/03T11:36:09,,,,,,Data Date-Time:,2025/04/03T11:33:38,,,,,,,
Total Measurement Time in sec:,6.4798487,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.74589567087503,0.0468271937173058,-9.53581739805986E-05,,,,,
Serial Number:,C23R002,(95UB125GC0VC23R002),,,,,Pixel to Wavelength Coefficients:,1756.1983651918,-0.919335509971685,-0.000241825006214287,,,,,
GUI Version:,3.13.1,Revision:,930,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,13min 34sec ,,,,,,,
UUID:,DE:67:0C:88:67:76:74:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,F,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,C,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.701099874012,0.195125934770887,91238,58217
905.577788882674,0.190920854434604,98734,63613
909.450125041225,0.191641992470608,106572,68549
913.318108349663,0.189384506184997,115624,74759
917.18173880799,0.188709176638863,126450,81886
921.041016416205,0.188491247076008,139529,90401
926.179948793651,0.188650155295862,161610,104669
930.029069751605,0.187558909174028,181967,118150
933.873837859447,0.184957425928215,204299,133447
937.714253117177,0.185042795962398,225801,147463
941.550315524795,0.18469708316147,244335,159694
945.382025082302,0.182921537333655,260025,170645
949.209381789697,0.182787769042465,273740,179701
954.305752966049,0.181541896042279,289245,190425
958.122953023182,0.180917175773028,299351,197362
961.935800230204,0.180239220577003,309082,204096
965.744294587114,0.179431098875577,318310,210581
969.548436093912,0.179046321140014,326934,216478
973.348224750598,0.17850310780895,335675,222544
977.143660557173,0.178332037838601,344131,228240
982.197470532431,0.177395928899549,354880,235877
985.982749688744,0.176318950827393,362497,241538
989.763675994946,0.175512336912789,369966,246973
993.540249451036,0.175187415274093,377518,252203
997.312470057013,0.173964039292225,384512,257600
1001.08033781288,0.172762375167916,391254,262843
1004.84385271863,0.171955987903813,397657,267641
1009.8551014928,0.170508271306792,405811,274041
1013.60845974829,0.168982894923536,411064,278565
1017.35746515367,0.167997124131144,415927,282501
1021.10211770894,0.167056250171303,420088,285946
1024.8424174141,0.165790210163041,424017,289463
1028.57836426914,0.164184587542084,427067,292625
1032.30995827408,0.163529251496115,429645,294836
1037.27864584715,0.161675122732108,432085,297779
1041.00008320182,0.159972752992618,434219,300425
1044.71716770638,0.159230460243226,436167,302289
1048.42989936083,0.157596681540792,437328,304236
1052.13827816517,0.156710953103213,438913,305962
1055.8423041194,0.155597263035962,440436,307812
1059.54197722351,0.154449057748782,441966,309699
1064.46810359549,0.153119617616863,442422,310969
1068.15762004934,0.152371460812261,440939,310461
1071.84278365308,0.15116983986533,437565,308939
1075.52359440671,0.150648183038362,434574,307196
1079.20005231022,0.148914775947878,432478,306937
1082.87215736363,0.147944711150407,432119,307368
1086.53990956692,0.147594099041633,432932,308195
1091.42347473781,0.146108031326235,434190,310150
1095.08107029084,0.14573592955836,436638,312166
1098.73431299376,0.14465721787649,439096,314704
1102.38320284657,0.144302084075543,442840,317647
1106.02773984926,0.142941644189335,446094,320985
1109.66792400185,0.142720900444511,450072,324012
1113.30375530432,0.14223691960945,454717,327721
1118.14475927411,0.141697721060688,461194,332802
