***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,FolHerbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,41.85,,,,,,System Temp (C):,41.86,,,,,,,
Humidity (%):,42.96,,,,,,Humidity (%):,43.45,,,,,,,
Lamp ADC:,3077,3078,831,849,,,Lamp ADC:,3077,3079,831,849,,,,
Data Date-Time:,2025/04/03T11:31:18,,,,,,Data Date-Time:,2025/04/03T11:27:54,,,,,,,
Total Measurement Time in sec:,6.4820816,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.74589567087503,0.0468271937173058,-9.53581739805986E-05,,,,,
Serial Number:,C23R002,(95UB125GC0VC23R002),,,,,Pixel to Wavelength Coefficients:,1756.1983651918,-0.919335509971685,-0.000241825006214287,,,,,
GUI Version:,3.13.1,Revision:,930,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,12min 54sec ,,,,,,,
UUID:,DE:67:0C:88:67:76:74:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,F,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,C,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.701099874012,0.291702855644914,91069,46523
905.577788882674,0.289218884817735,98987,50858
909.450125041225,0.288835107253439,106715,54877
913.318108349663,0.285371217321878,115870,60062
917.18173880799,0.283597506679194,126574,65879
921.041016416205,0.282589536425794,139896,72982
926.179948793651,0.282412648637254,161826,84457
930.029069751605,0.280305529112187,181886,95388
933.873837859447,0.278204028622506,204227,107624
937.714253117177,0.277910526577541,225872,119111
941.550315524795,0.276020020471487,244340,129412
945.382025082302,0.275461578871177,260088,137930
949.209381789697,0.273998394958006,273729,145654
954.305752966049,0.273923961644837,289071,153844
958.122953023182,0.272362203027848,299132,159772
961.935800230204,0.272064894879133,309139,165230
965.744294587114,0.271110152747583,318375,170541
969.548436093912,0.270515365830077,326914,175355
973.348224750598,0.26991500230705,335421,180167
977.143660557173,0.268991197075834,343685,184999
982.197470532431,0.268247531043345,354397,191092
985.982749688744,0.268401297927384,362693,195496
989.763675994946,0.267222232882897,369784,199860
993.540249451036,0.266963759828506,377260,204022
997.312470057013,0.266692704590717,384106,207854
1001.08033781288,0.266043025717722,391075,211942
1004.84385271863,0.265367754607575,397483,215750
1009.8551014928,0.264895389978605,405625,220409
1013.60845974829,0.264313956530934,411037,223649
1017.35746515367,0.264450048579225,415727,226130
1021.10211770894,0.264174006351543,419887,228538
1024.8424174141,0.263259041766173,423442,230959
1028.57836426914,0.263049187381872,426864,232938
1032.30995827408,0.263088342846432,429230,234208
1037.27864584715,0.263181277091789,431923,235627
1041.00008320182,0.262058850711956,433856,237294
1044.71716770638,0.262353825450839,435834,238214
1048.42989936083,0.263001578699282,437452,238742
1052.13827816517,0.262211460910227,438634,239823
1055.8423041194,0.262329090925643,440253,240643
1059.54197722351,0.262676648884784,441477,241119
1064.46810359549,0.262786760831007,442175,241439
1068.15762004934,0.262374659303039,440731,240879
1071.84278365308,0.262160431735115,437498,239230
1075.52359440671,0.262158747742293,434680,237690
1079.20005231022,0.261515949886347,432222,236696
1082.87215736363,0.260863074172817,431766,236802
1086.53990956692,0.261271931269734,432503,236983
1091.42347473781,0.260844716123069,433901,237983
1095.08107029084,0.260661292540963,436590,239559
1098.73431299376,0.260978211526318,438831,240613
1102.38320284657,0.260997281920276,442602,242670
1106.02773984926,0.260585849050893,446106,244823
1109.66792400185,0.260587394611142,449874,246890
1113.30375530432,0.261178568592054,454470,249073
1118.14475927411,0.26074594285636,460988,252897
