***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,FolHerbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,39.04,,,,,,System Temp (C):,38.95,,,,,,,
Humidity (%):,44.36,,,,,,Humidity (%):,44.31,,,,,,,
Lamp ADC:,3066,3082,829,851,,,Lamp ADC:,3066,3081,829,851,,,,
Data Date-Time:,2025/04/03T10:47:41,,,,,,Data Date-Time:,2025/04/03T10:46:56,,,,,,,
Total Measurement Time in sec:,6.4847845,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,0.392694521123758,0.0064508848494657,-3.36963000867986E-05,,,,,
Serial Number:,C23R003,(95UB125GC0VC23R003),,,,,Pixel to Wavelength Coefficients:,1737.96619343203,-0.927679554192883,-0.000240514673521399,,,,,
GUI Version:,3.13.1,Revision:,930,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,8min 14sec ,,,,,,,
UUID:,DE:67:0C:88:67:47:5F:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,F,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,C,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.114121469303,0.334488187655658,104427,48342
904.983805426851,0.332305323725338,112849,52504
908.849160120276,0.333456396687456,120689,56003
913.996231967317,0.330185685079753,133021,62192
917.851485044454,0.328438686956808,144374,67772
921.702408857468,0.325684133190431,157972,74627
925.549003406358,0.324769156844639,174511,82614
929.391268691125,0.32193147078381,192923,91929
933.229204711769,0.321161106498237,213155,101750
937.062811468289,0.319382219979621,233293,111820
942.16755273279,0.318106335714955,258969,124492
945.991057873023,0.317092202714802,276653,133304
949.810233749132,0.315902311341995,292915,141527
953.625080361117,0.31484912630344,309303,149808
957.435597708979,0.313872027241218,325257,157890
961.241785792718,0.312636416374917,340452,165737
966.309968826844,0.311177818157312,360289,175984
970.106055294295,0.310160490181486,373625,182926
973.897812497622,0.308839111310619,385512,189321
977.685240436826,0.308739208466015,397056,195035
981.468339111907,0.307479235797853,406575,200291
985.247108522864,0.306370215962653,414368,204652
989.021548669698,0.306101145016984,420886,208000
994.047401121285,0.304487526275398,427131,211872
997.811739651831,0.303736241895495,430780,214052
1001.57174891825,0.303144526483449,434008,215950
1005.32742892055,0.302406489690792,435775,217198
1009.07877965873,0.301828858932591,436945,218071
1012.82580113278,0.301152809780023,438550,219213
1016.56849334271,0.300426887058914,438952,219781
1021.55201521176,0.300006943163097,438849,219942
1025.2846058054,0.299679728667649,438351,219858
1029.01286713492,0.298953869517064,437822,219960
1032.73679920031,0.298046940319378,436714,219862
1036.45640200158,0.297779471766813,435663,219468
1040.17167553873,0.297006568372013,435893,219975
1045.1186391774,0.297806652367551,436800,220027
1048.82381109826,0.296463606193201,436425,220519
1052.524653755,0.29608446670996,436408,220703
1056.22116714761,0.296534954174032,437910,221233
1059.9133512761,0.29510192831035,438754,222392
1063.60120614046,0.295092117401448,439259,222653
1067.28473174071,0.294928029987578,440158,223193
1072.18936479684,0.294287130935651,441805,224359
1075.86278878079,0.294048455421856,443800,225496
1079.53188350063,0.293665090575206,445947,226787
1083.19664895633,0.293520521208666,448297,228058
1086.85708514792,0.293115330560851,450540,229413
1090.51319207538,0.293648290547771,451632,229687
1094.16496973872,0.29333099559768,453212,230659
1099.02727221231,0.293190634525769,455676,231988
1102.66894825936,0.292847465348764,457581,233142
1106.30629504229,0.292657212945769,459774,234362
1109.93931256109,0.292544798833667,461632,235370
1113.56800081577,0.291980911168663,463883,236825
1117.19235980633,0.292131739192142,466321,237987
1120.81238953276,0.292027150457474,468773,239296
1125.63236142381,0.29180038716747,472127,241134
1129.24228953396,0.292209209646492,474845,242294
1132.84788837998,0.292133308252884,477517,243700
1136.44915796188,0.292111894379605,480311,245138
1140.04609827965,0.291460523331021,483099,246931
1143.6387093333,0.291904665869934,486245,248285
1148.42212299398,0.291732320117374,490723,250671
1152.00463243134,0.291862542155287,494581,252566
1155.58281260458,0.291683561553501,498938,254896
1159.1566635137,0.292488519354874,503319,256658
1162.72618515869,0.291881413276617,507778,259294
1166.29137753957,0.291974177537501,512987,261898
1169.85224065631,0.292323925999026,517958,264223
1174.59332373445,0.292342580598397,525367,267991
1178.14408523491,0.292657272432161,532006,271181
1181.69051747124,0.292523244736105,537951,274296
1185.23262044346,0.29297511846577,545029,277616
1188.77039415154,0.292317512740246,551377,281275
1192.30383859551,0.292662907158681,558945,284909
1195.83295377535,0.293059422026492,566774,288636
1200.53170627095,0.292853044073558,577329,294151
1204.0507198345,0.29268945151032,585083,298214
1207.56540413393,0.293051804736338,593412,302207
1211.07575916924,0.292822215240644,601714,306597
1214.58178494043,0.292710271868173,610396,311101
