***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,FolHerbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,40.97,,,,,,System Temp (C):,40.76,,,,,,,
Humidity (%):,43.17,,,,,,Humidity (%):,44.2,,,,,,,
Lamp ADC:,3066,3081,829,851,,,Lamp ADC:,3066,3082,829,851,,,,
Data Date-Time:,2025/04/03T11:07:22,,,,,,Data Date-Time:,2025/04/03T11:02:43,,,,,,,
Total Measurement Time in sec:,6.483519,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,0.392694521123758,0.0064508848494657,-3.36963000867986E-05,,,,,
Serial Number:,C23R003,(95UB125GC0VC23R003),,,,,Pixel to Wavelength Coefficients:,1737.96619343203,-0.927679554192883,-0.000240514673521399,,,,,
GUI Version:,3.13.1,Revision:,930,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,11min 5sec ,,,,,,,
UUID:,DE:67:0C:88:67:47:5F:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,F,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,C,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.114121469303,0.445279198717898,104070,37329
904.983805426851,0.44189620187955,112441,40647
908.849160120276,0.443898106415319,120300,43288
913.996231967317,0.441714125506148,132076,47765
917.851485044454,0.441731705389442,143228,51796
921.702408857468,0.439987261514489,156700,56896
925.549003406358,0.44167746102045,172858,62519
929.391268691125,0.44139697885724,191273,69224
933.229204711769,0.440194370630552,211264,76671
937.062811468289,0.43756045292493,231226,84426
942.16755273279,0.438853494433098,256792,93482
945.991057873023,0.438123111465839,274556,100117
949.810233749132,0.437546265776038,291251,106346
953.625080361117,0.436965757267856,307688,112498
957.435597708979,0.436027235375666,323718,118615
961.241785792718,0.434987965204259,338760,124424
966.309968826844,0.435313041171253,358604,131614
970.106055294295,0.433995888369724,372040,136960
973.897812497622,0.434805462143663,384393,141244
977.685240436826,0.433248178380168,395323,145782
981.468339111907,0.433469532726201,405460,149444
985.247108522864,0.432700494884701,413282,152597
989.021548669698,0.432208058417332,419685,155137
994.047401121285,0.43069747682302,425698,157908
997.811739651831,0.430222902418861,429671,159556
1001.57174891825,0.429394992816257,432965,161086
1005.32742892055,0.42941700666596,434511,161653
1009.07877965873,0.427725177862384,435641,162706
1012.82580113278,0.427850846676162,437291,163275
1016.56849334271,0.42645589449093,437664,163940
1021.55201521176,0.425824566810456,437740,164207
1025.2846058054,0.425061408466335,437352,164350
1029.01286713492,0.424388227227456,436749,164378
1032.73679920031,0.423447547474133,435637,164315
1036.45640200158,0.422955932213959,434686,164142
1040.17167553873,0.422281676436037,434871,164467
1045.1186391774,0.421677766039029,435748,165028
1048.82381109826,0.419971534264105,435244,165486
1052.524653755,0.42025374654924,435219,165369
1056.22116714761,0.42001422264101,436744,166040
1059.9133512761,0.418391336504086,437691,167023
1063.60120614046,0.418164202585282,438316,167349
1067.28473174071,0.416802909099562,438597,167982
1072.18936479684,0.416525336190265,440793,168931
1075.86278878079,0.415892787972522,442301,169756
1079.53188350063,0.414846491103579,444990,171200
1083.19664895633,0.414589588317734,447270,172179
1086.85708514792,0.413546845500314,448991,173257
1090.51319207538,0.414250792154225,450415,173525
1094.16496973872,0.413007089532114,452031,174647
1099.02727221231,0.412231209361933,454185,175793
1102.66894825936,0.411545326403668,456329,176902
1106.30629504229,0.411279856752578,458128,177708
1109.93931256109,0.411021904490758,460435,178709
1113.56800081577,0.411312766833712,462855,179528
1117.19235980633,0.41083790421847,465316,180680
1120.81238953276,0.409996752544133,467369,181829
1125.63236142381,0.409880111842392,470710,183178
1129.24228953396,0.409385893509718,473360,184419
1132.84788837998,0.409883185048729,475678,185110
1136.44915796188,0.409705263480448,478807,186404
1140.04609827965,0.409489687934648,481984,187734
1143.6387093333,0.409139475411667,485033,189074
1148.42212299398,0.409613228179179,489620,190654
1152.00463243134,0.408679660644832,493476,192569
1155.58281260458,0.409249561346528,497334,193820
1159.1566635137,0.410125160771931,502053,195265
1162.72618515869,0.410015275327022,506175,196918
1166.29137753957,0.409887302964608,511227,198942
1169.85224065631,0.410067577913465,516532,200923
1174.59332373445,0.41019553050714,524260,203869
1178.14408523491,0.409952774442745,530197,206293
1181.69051747124,0.410754228314413,536599,208399
1185.23262044346,0.410912275362574,543427,210974
1188.77039415154,0.410319215728665,549574,213652
1192.30383859551,0.409765505897511,557110,216858
1195.83295377535,0.410332229209372,565215,219726
1200.53170627095,0.409504704376513,575364,224098
1204.0507198345,0.409801854982676,583522,227120
1207.56540413393,0.409190247110264,591624,230598
1211.07575916924,0.408559762138567,600091,234238
1214.58178494043,0.407737571703162,608325,237902
1218.08348144749,0.406962001584942,615673,241206
1222.74567571271,0.406354469129153,625895,245554
1226.23727060348,0.405310098416085,632760,248845
1229.72453623013,0.404573668884024,639674,251991
1233.20747259266,0.404140571345872,646591,254970
1236.68607969106,0.403808498969647,656357,259019
1240.16035752534,0.402998541853401,666875,263661
1243.63030609549,0.402256376369849,676672,267992
1248.25016977818,0.401787564445517,690064,273591
1251.71001673204,0.400989980768474,699178,277714
1255.16553442179,0.400911900675964,708245,281366
1258.61672284741,0.40011663860467,716595,285205
1262.06358200891,0.399598753273396,724532,288708
1265.50611190628,0.399729427724081,731794,291514
1268.94431253953,0.399628389829013,738513,294259
1273.52184563968,0.398746383004215,746352,297987
1276.94994465664,0.398551711887671,752394,300534
1280.37371440948,0.39844310225369,757507,302652
1283.79315489819,0.397496773099644,761917,305078
1287.20826612279,0.396977612167261,766073,307109
1290.61904808326,0.396654437256112,770107,308956
1295.16002295302,0.396551052919676,774980,310985
1298.56070329721,0.396204352776356,777377,312196
1301.95705437726,0.395712939490875,779781,313516
1305.3490761932,0.395979571791002,782114,314261
1308.73676874501,0.395552798100718,784123,315378
1312.1201320327,0.395549461409237,785109,315777
1315.49916605626,0.395510185491496,785662,316028
1319.99781034349,0.394987817974073,786195,316623
1323.36674275077,0.395117743408868,786850,316792
1326.73134589392,0.395024205052125,786539,316735
1330.09161977295,0.395052736042957,786017,316504
1333.44756438786,0.395108866710992,785751,316356
1336.79917973864,0.395447430970618,785111,315852
1340.1464658253,0.396004325911487,783184,314673
1344.60277952999,0.396500238241141,780710,313321
1347.93996400036,0.397102721381339,778066,311827
1351.27281920661,0.397240622305061,774961,310484
1354.60134514873,0.398104481406511,769859,307827
1357.92554182674,0.398766427810271,765613,305663
1361.24540924061,0.399039635194583,762225,304119
1364.56094739037,0.399888510239579,759515,302446
1368.97493051252,0.40063233412649,756699,300809
1372.28036704598,0.401062670609419,755052,299857
1375.58147431533,0.401618244085362,752103,298304
1378.87825232055,0.402913316158549,747180,295469
1382.17070106165,0.403187427371394,741470,293026
1385.45882053862,0.404305812220121,736999,290510
1389.83624543039,0.405530069905759,730104,286982
1393.11426329108,0.407259708855459,722724,282952
1396.38795188764,0.409198405385643,714607,278528
1399.65731122008,0.411425050224842,706874,274105
1402.92234128839,0.415035531099899,699859,269138
1406.18304209259,0.418321646379347,694288,264983
1409.43941363266,0.422338908323176,690178,260989
1413.77450794189,0.428352504066347,688309,256703
1417.02077786567,0.432909256874226,687413,253693
1420.26271852533,0.437381879584884,687025,250952
1423.50032992086,0.441409396457689,686844,248570
1426.73361205227,0.444786365538033,686572,246547
1429.96256491956,0.447563864215478,686703,245022
1433.18718852272,0.450162697710001,686274,243408
