***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,FolHerbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,40.02,,,,,,System Temp (C):,40.08,,,,,,,
Humidity (%):,42.82,,,,,,Humidity (%):,42.44,,,,,,,
Lamp ADC:,3069,3082,845,842,,,Lamp ADC:,3069,3081,845,842,,,,
Data Date-Time:,2025/04/03T11:36:53,,,,,,Data Date-Time:,2025/04/03T11:33:14,,,,,,,
Total Measurement Time in sec:,6.4715782,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-4.78706677830951,0.0420606707536571,-9.21439965724389E-05,,,,,
Serial Number:,C23R001,(95UB125GC0VC23R001),,,,,Pixel to Wavelength Coefficients:,1777.69850932213,-0.910890781979712,-0.000240535926235214,,,,,
GUI Version:,3.13.1,Revision:,930,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,9min 59sec ,,,,,,,
UUID:,DE:67:0C:88:67:3E:75:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,F,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,C,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.868887283122,0.273885004608663,105212,55999
904.747472781646,0.268287902453798,113235,61051
909.912185107076,0.266816424170549,124381,67288
913.780668096698,0.263600271155043,134599,73357
917.644821439648,0.259000972840437,147186,81071
921.504645135925,0.255921561371574,162583,90189
925.36013918553,0.25265202102569,180862,101087
929.211303588463,0.249149676252845,202054,113846
933.058138344724,0.246625688789088,223993,126943
938.180516347137,0.242573352791946,251734,144002
942.017248594496,0.241620318090554,270584,155125
945.849651195182,0.238659560856471,287728,166082
949.677724149196,0.236219176209163,303524,176187
953.501467456539,0.233227062630588,319047,186478
957.320881117208,0.231213060172737,333969,196107
961.135965131206,0.230223103902088,349741,205837
966.216008810601,0.227494777396863,369739,218978
970.020990315697,0.22594259068834,384632,228614
973.821642174121,0.223920210194822,398667,238062
977.617964385872,0.221899643946612,412465,247450
981.409956950951,0.220609870421112,425433,255989
985.197619869358,0.21849583411035,436846,264139
988.980953141092,0.217240879153588,447007,271065
994.01866249747,0.215044116925171,459146,279838
997.791893260303,0.213100368394467,466447,285563
1001.56079437646,0.211607512366129,473132,290653
1005.32536584595,0.209856897090122,478432,295096
1009.08560766877,0.207909611909012,483035,299274
1012.84151984491,0.206741280523521,486840,302444
1016.59310237438,0.205079771886425,488504,304641
1021.58847740774,0.203286658209115,490565,307192
1025.32995742831,0.202071553407593,491685,308756
1029.06710780221,0.200500591878095,491828,309965
1032.79992852944,0.199118412143029,490300,309987
1036.52841960999,0.197915714339331,489075,310070
1040.25258104387,0.196238326780592,487991,310580
1043.97241283108,0.195350899883228,487263,310751
1047.68791497161,0.193691747553272,486814,311653
1052.63518281973,0.192278348226351,485936,312105
1056.34058245136,0.191366543479711,486180,312918
1060.04165243632,0.190141418692833,487985,314967
1063.73839277461,0.189511388903653,491136,317461
1067.43080346623,0.188631564523797,492495,318985
1071.11888451118,0.187847883991166,490892,318521
1074.80263590945,0.18642090229367,486529,316729
1079.70756943455,0.185189318060312,481763,314517
1083.38121832392,0.183776183264435,480514,314724
1087.05053756662,0.182641482043559,480885,315791
1090.71552716264,0.181904204291757,481211,316542
1094.376187112,0.180993073552792,483232,318539
1098.03251741468,0.180156913218502,485467,320629
1101.68451807069,0.179953436556363,487826,322338
1106.54711727277,0.179149430498949,491238,325194
1110.18901541988,0.178214771494618,493477,327380
1113.82658392031,0.177729386691371,496172,329536
1117.45982277408,0.177492723626696,498791,331456
1121.08873198117,0.177187693673704,500704,332961
1124.71331154159,0.176813294105389,503261,334950
1128.33356145534,0.177132188527208,506901,337125
1133.1538263344,0.17691002938256,510217,339504
1136.76397373924,0.1767952926552,512414,341056
1140.36979149742,0.176320324340644,514884,343075
1143.97127960892,0.176635019237114,517474,344551
1147.56843807374,0.176849141091322,520485,346385
1151.1612668919,0.177061755489819,523485,348211
1154.74976606338,0.176968936927613,526280,350145
1159.52769661943,0.178190332426062,530733,352116
1163.10609328201,0.178344339110042,533774,354008
1166.68016029792,0.178631596474438,537098,355977
1170.24989766716,0.179142544493784,540620,357890
1173.81530538972,0.179099941415046,544772,360674
1177.37638346562,0.179472509422017,549489,363485
1180.93313189484,0.179631564911952,553474,365987
1185.66872812787,0.180156760725888,561042,370543
1189.21537404818,0.179562547134204,566255,374498
1192.75769032183,0.180125633835443,572272,377987
1196.29567694881,0.180011549156548,578388,382127
1199.82933392911,0.179362528559401,584682,386863
1203.35866126274,0.17935694281823,591752,391546
1206.8836589497,0.179167856815733,598377,396102
1211.57692085971,0.178616561234258,607639,402744
1215.09181603776,0.177938190711635,615149,408359
1218.60238156915,0.17719698542095,622741,414105
1222.10861745386,0.176414172403881,630332,419909
1225.6105236919,0.175458497882929,637496,425617
1229.10810028326,0.174590840420238,645079,431541
1232.60134722796,0.173911688892711,651626,436603
1236.09026452598,0.173345240065025,658918,442065
1240.73541925074,0.172476375504826,671846,451641
1244.21423403986,0.172192498907731,683438,459734
1247.68871918231,0.171665623645243,694801,467945
1251.15887467809,0.170948115223194,705704,476074
1254.62470052719,0.17085263796137,717116,483879
1258.08619672962,0.170431859944291,727708,491502
1261.54336328538,0.170150776615513,737596,498503
1266.14618368713,0.169640691865621,750142,507578
1269.59324773399,0.16945234498517,759051,513829
1273.03598213417,0.169354660485719,768718,520490
1276.47438688769,0.169086417921818,776106,525817
1279.90846199453,0.169173406648861,783702,530857
1283.3382074547,0.168276603781899,790256,536403
1286.76362326819,0.168165445362821,796882,541039
1291.32410934692,0.167806030203103,804389,546588
1294.73942265151,0.167691741119378,809162,549976
1298.15040630944,0.167483174845332,813619,553271
1301.55706032069,0.1675850274183,818377,556376
1304.95938468526,0.167242590035261,821690,559069
1308.35737940317,0.167345778142009,824233,560666
1311.7510444744,0.167627538028088,826720,561993
1316.26919623011,0.167596812741022,829143,563680
1319.65275879245,0.167863452341923,830291,564114
1323.03199170811,0.16811788945309,830539,563952
1326.40689497709,0.16869810327439,831232,563669
1329.77746859941,0.169213684043282,831242,563007
1333.14371257505,0.169762929871056,830279,561644
1336.50562690402,0.170844926317196,829275,559569
1340.98144433671,0.172274913743517,827991,556866
1344.33325615678,0.173343693251376,826117,554240
1347.68073833018,0.174918031007717,823072,550199
1351.0238908569,0.175947159978914,819634,546604
1354.36271373695,0.177274500724485,815567,542232
1357.69720697033,0.178558843402813,811372,537850
1361.02737055704,0.179935165172399,806753,533096
1365.46085366672,0.18149736567807,802935,528668
1368.78091474452,0.182281342398958,800906,526381
1372.09664617566,0.183531425380188,798495,523288
1375.40804796012,0.184756789663474,794442,519165
1378.71512009791,0.185541085832271,788538,514377
1382.01786258902,0.187316774097228,782219,508173
1385.31627543347,0.189044850792733,776756,502620
1388.61035863124,0.191637252448473,770230,495431
1392.99573455567,0.195525536709045,758490,483531
1396.27971524454,0.199208825451274,748540,473158
1399.55936628673,0.203376440305377,739290,462848
1402.83468768226,0.208830515581402,732680,452985
1406.10567943111,0.214925808930511,728760,444282
1409.3723415333,0.221176079723363,725339,435878
