***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,FolHerbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,42.78,,,,,,System Temp (C):,42.44,,,,,,,
Humidity (%):,40,,,,,,Humidity (%):,39.8,,,,,,,
Lamp ADC:,3066,3082,829,851,,,Lamp ADC:,3066,3081,829,851,,,,
Data Date-Time:,2025/04/03T11:49:17,,,,,,Data Date-Time:,2025/04/03T11:46:36,,,,,,,
Total Measurement Time in sec:,6.4679106,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,0.392694521123758,0.0064508848494657,-3.36963000867986E-05,,,,,
Serial Number:,C23R003,(95UB125GC0VC23R003),,,,,Pixel to Wavelength Coefficients:,1737.96619343203,-0.927679554192883,-0.000240514673521399,,,,,
GUI Version:,3.13.1,Revision:,930,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,17min 32sec ,,,,,,,
UUID:,DE:67:0C:88:67:47:5F:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,F,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,C,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.114121469303,0.224563059994942,104808,62493
904.983805426851,0.220894091552273,113151,68040
908.849160120276,0.220683750808641,121241,72940
913.996231967317,0.21728542809842,132982,80632
917.851485044454,0.213434167883489,143800,87968
921.702408857468,0.21250279248689,157357,96468
925.549003406358,0.211725971068476,173124,106324
929.391268691125,0.209519548692552,191567,118250
933.229204711769,0.209050739202486,211723,130833
937.062811468289,0.206819585183508,231959,144076
942.16755273279,0.205176560296759,258035,160880
945.991057873023,0.203951332911654,276000,172567
949.810233749132,0.202508527072302,292731,183637
953.625080361117,0.201129401514068,309530,194793
957.435597708979,0.200709501094954,325755,205202
961.241785792718,0.199154663618472,340874,215496
966.309968826844,0.198082217465122,361040,228809
970.106055294295,0.197414037675261,374877,237944
973.897812497622,0.19667467581042,387248,246215
977.685240436826,0.1957627460305,398207,253715
981.468339111907,0.195502201796188,408625,260509
985.247108522864,0.194491696570983,416442,266111
989.021548669698,0.193601875718606,423064,270897
994.047401121285,0.192928668685503,429477,275430
997.811739651831,0.191375055892857,433167,278792
1001.57174891825,0.19097524270238,436511,281203
1005.32742892055,0.190705284716547,438393,282591
1009.07877965873,0.189412489663694,439707,284283
1012.82580113278,0.188616802293098,440920,285590
1016.56849334271,0.187946025501062,441613,286481
1021.55201521176,0.187280519356939,441908,287112
1025.2846058054,0.186499190171953,441338,287258
1029.01286713492,0.186250427265864,440749,287039
1032.73679920031,0.185370220931523,439449,286773
1036.45640200158,0.184727274338089,438753,286743
1040.17167553873,0.184601564314047,438857,286894
1045.1186391774,0.183536132102303,439300,287889
1048.82381109826,0.18344344645646,439191,287879
1052.524653755,0.183098559360452,439382,288233
1056.22116714761,0.182402459676146,440459,289403
1059.9133512761,0.181453992991546,441281,290577
1063.60120614046,0.181447641381852,442005,291058
1067.28473174071,0.181270223715911,442755,291671
1072.18936479684,0.180699240397095,444279,293060
1075.86278878079,0.180161736679481,446090,294619
1079.53188350063,0.180025987297135,448713,296444
1083.19664895633,0.179827792163154,451103,298159
1086.85708514792,0.179286344869203,453072,299834
1090.51319207538,0.178827885612576,454111,300839
1094.16496973872,0.17850257081322,455673,302100
1099.02727221231,0.178141348261431,458022,303910
1102.66894825936,0.177736382171319,459947,305472
1106.30629504229,0.17802438311396,462253,306800
1109.93931256109,0.177938826858236,464295,308216
1113.56800081577,0.177569008525158,466460,309917
