***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,FolHerbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,39.01,,,,,,System Temp (C):,38.38,,,,,,,
Humidity (%):,46.58,,,,,,Humidity (%):,47.13,,,,,,,
Lamp ADC:,3068,3083,845,843,,,Lamp ADC:,3069,3082,845,842,,,,
Data Date-Time:,2025/04/03T10:38:05,,,,,,Data Date-Time:,2025/04/03T10:30:29,,,,,,,
Total Measurement Time in sec:,6.4911807,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-4.78706677830951,0.0420606707536571,-9.21439965724389E-05,,,,,
Serial Number:,C23R001,(95UB125GC0VC23R001),,,,,Pixel to Wavelength Coefficients:,1777.69850932213,-0.910890781979712,-0.000240535926235214,,,,,
GUI Version:,3.13.1,Revision:,930,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,5min 22sec ,,,,,,,
UUID:,DE:67:0C:88:67:3E:75:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,F,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,C,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.868887283122,0.38459066326851,105349,43455
904.747472781646,0.378419087680883,113564,47514
909.912185107076,0.366806489940221,124274,53404
913.780668096698,0.367157385784054,134850,57902
917.644821439648,0.359985615000492,148047,64627
921.504645135925,0.354034216647367,163587,72396
925.36013918553,0.348661013161095,181999,81547
929.211303588463,0.343795307901116,203321,92127
933.058138344724,0.337679677582689,225316,103541
938.180516347137,0.330392875997219,253122,118287
942.017248594496,0.325689317331079,271494,128254
945.849651195182,0.320545735731268,288608,137963
949.677724149196,0.315149966404163,304224,147246
953.501467456539,0.309831389603616,319759,156672
957.320881117208,0.305184682568107,334632,165723
961.135965131206,0.29997429400884,349659,175255
966.216008810601,0.293651445153067,369947,188143
970.020990315697,0.289838292530503,384834,197440
973.821642174121,0.285236584217098,398758,206763
977.617964385872,0.281095809180727,412541,215959
981.409956950951,0.276948749074056,425360,224806
985.197619869358,0.272820796224608,436969,233147
988.980953141092,0.26980095020762,447221,240282
994.01866249747,0.264949588329369,459396,249596
997.791893260303,0.261042712079091,466416,255700
1001.56079437646,0.258259213276086,473506,261256
1005.32536584595,0.254538597498878,478563,266318
1009.08560766877,0.251287304678354,483528,271103
1012.84151984491,0.24748690558174,486946,275419
1016.59310237438,0.244701329907154,488748,278217
1021.58847740774,0.240789029697888,490756,281888
1025.32995742831,0.237167017748711,491630,284755
1029.06710780221,0.234319062098241,491775,286713
1032.79992852944,0.231465849185994,490332,287756
1036.52841960999,0.228654014856776,489294,289012
1040.25258104387,0.226706722426473,487973,289527
1043.97241283108,0.224139556673908,487560,290997
1047.68791497161,0.221662181942692,487184,292436
1052.63518281973,0.218488958679191,486252,294017
1056.34058245136,0.216234962788533,486211,295522
1060.04165243632,0.213742096417256,488123,298392
1063.73839277461,0.212391910142717,491218,301219
1067.43080346623,0.209736548933662,492694,303977
1071.11888451118,0.208316555730479,491097,303984
1074.80263590945,0.206417154870379,486895,302704
1079.70756943455,0.203113005035059,481618,301710
1083.38121832392,0.201526363504779,480843,302327
1087.05053756662,0.199990473296081,481144,303588
1090.71552716264,0.198442345984877,481417,304845
1094.376187112,0.196853081300162,484039,307629
1098.03251741468,0.195250175341233,485609,309768
1101.68451807069,0.194103459187264,487898,312051
1106.54711727277,0.192524690994471,491242,315334
1110.18901541988,0.190782148041657,493652,318155
1113.82658392031,0.189867064531195,496202,320473
1117.45982277408,0.189135134645402,498951,322792
1121.08873198117,0.18806913241722,501154,325014
1124.71331154159,0.187520479420992,503706,327082
1128.33356145534,0.186668270946386,506727,329690
1133.1538263344,0.186011125083854,510175,332436
1136.76397373924,0.185474830905428,512568,334408
1140.36979149742,0.185564249889263,515151,336024
1143.97127960892,0.184711161747431,517927,338499
1147.56843807374,0.184817699313194,520740,340254
1151.1612668919,0.184645026212877,523507,342198
1154.74976606338,0.185043860820636,526905,344103
1159.52769661943,0.185171999983298,530879,346596
1163.10609328201,0.185308069383035,533719,348341
1166.68016029792,0.185137868613265,537057,350657
1170.24989766716,0.185273652838314,540502,352796
1173.81530538972,0.186193648332446,545032,355000
1177.37638346562,0.186145714748129,549654,358050
1180.93313189484,0.18698346653664,553933,360142
1185.66872812787,0.187369367554402,561216,364553
