***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,FolHerbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,40.05,,,,,,System Temp (C):,39.82,,,,,,,
Humidity (%):,47.65,,,,,,Humidity (%):,46.46,,,,,,,
Lamp ADC:,3077,3078,831,849,,,Lamp ADC:,3077,3078,831,849,,,,
Data Date-Time:,2025/04/03T10:53:24,,,,,,Data Date-Time:,2025/04/03T10:48:24,,,,,,,
Total Measurement Time in sec:,6.4876729,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.74589567087503,0.0468271937173058,-9.53581739805986E-05,,,,,
Serial Number:,C23R002,(95UB125GC0VC23R002),,,,,Pixel to Wavelength Coefficients:,1756.1983651918,-0.919335509971685,-0.000241825006214287,,,,,
GUI Version:,3.13.1,Revision:,930,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,8min 7sec ,,,,,,,
UUID:,DE:67:0C:88:67:76:74:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,F,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,C,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.701099874012,0.451340755000626,91123,32232
905.577788882674,0.44611517365342,98413,35232
909.450125041225,0.443305477708965,106304,38304
913.318108349663,0.438902654268581,115828,42161
917.18173880799,0.435087753956417,126702,46526
921.041016416205,0.431427034957481,140037,51858
926.179948793651,0.426683607247854,162339,60777
930.029069751605,0.423562282335484,183031,69018
933.873837859447,0.42160012667515,205707,77920
937.714253117177,0.417738580004968,226975,86744
941.550315524795,0.41387947486903,244973,94458
945.382025082302,0.411806559559842,260465,100912
949.209381789697,0.408800768644319,273669,106764
954.305752966049,0.403619022249245,288655,113962
958.122953023182,0.400464837629115,299046,118925
961.935800230204,0.398515253285832,308611,123281
965.744294587114,0.394503258486415,317629,128061
969.548436093912,0.392732747104,326761,132281
973.348224750598,0.388572296963203,334751,136820
977.143660557173,0.385901809025971,343352,141201
982.197470532431,0.382643906736967,354258,146783
985.982749688744,0.380240531930742,361798,150739
989.763675994946,0.376770475644949,369343,155117
993.540249451036,0.373106484844032,376225,159346
997.312470057013,0.371927648973469,383689,162949
1001.08033781288,0.36775952459899,390365,167383
1004.84385271863,0.366268515981984,396497,170597
1009.8551014928,0.362274412904837,404612,175697
1013.60845974829,0.359989766910326,409893,178929
1017.35746515367,0.357788218594562,414592,181900
1021.10211770894,0.355257556296492,418537,184704
1024.8424174141,0.352724000759556,422541,187562
1028.57836426914,0.349591930887374,425548,190264
1032.30995827408,0.347925945956707,428025,192107
1037.27864584715,0.344493777345748,430350,194683
1041.00008320182,0.341376158849879,432809,197206
1044.71716770638,0.339213433816942,434627,199023
1048.42989936083,0.3359482120858,435921,201122
1052.13827816517,0.333757707068669,437560,202899
1055.8423041194,0.330815693211265,439209,205048
1059.54197722351,0.328118579551706,440528,206945
1064.46810359549,0.325327558850846,441198,208596
1068.15762004934,0.323366397512749,439606,208784
1071.84278365308,0.321702349760716,436853,208273
1075.52359440671,0.319662172774391,433386,207593
1079.20005231022,0.318574594134879,431644,207277
1082.87215736363,0.316006462169685,430985,208188
1086.53990956692,0.314134989033244,431494,209334
1091.42347473781,0.311216601569579,433170,211564
1095.08107029084,0.310110608112501,435728,213356
1098.73431299376,0.307655159275749,438001,215685
1102.38320284657,0.305877604554879,441713,218405
1106.02773984926,0.30371792284883,445376,221314
1109.66792400185,0.302043893985903,448997,223975
1113.30375530432,0.299587842933997,453671,227590
1118.14475927411,0.297382557863676,460048,231964
