***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,FolHerbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,41.3,,,,,,System Temp (C):,40.91,,,,,,,
Humidity (%):,38.87,,,,,,Humidity (%):,39.19,,,,,,,
Lamp ADC:,3082,3086,851,854,,,Lamp ADC:,3083,3085,851,853,,,,
Data Date-Time:,2025/04/03T11:57:31,,,,,,Data Date-Time:,2025/04/03T11:54:51,,,,,,,
Total Measurement Time in sec:,6.4679614,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-2.27453457587495,0.0384893477179632,-0.000120883834660424,,,,,
Serial Number:,C23R004,(95UB125GC0VC23R004),,,,,Pixel to Wavelength Coefficients:,1773.06832862561,-0.918144602406657,-0.000240533803363975,,,,,
GUI Version:,3.13.1,Revision:,930,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,15min 56sec ,,,,,,,
UUID:,DE:67:0C:88:67:66:73:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,F,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,C,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.860912737931,0.248581070815431,117744,66429
904.749703961815,0.247746744778848,126581,71552
909.9280239805,0.247196874878079,138400,78332
913.806712784643,0.244227763346885,148958,84886
917.681071980326,0.242532191459215,161739,92530
921.551101567548,0.241540878286266,177366,101702
925.41680154631,0.239855595719199,195587,112586
929.278171916611,0.238465596416372,216717,125149
933.135212678451,0.237907550546327,239219,138321
936.987923831831,0.236693557818275,261230,151471
942.118137089843,0.235048331644847,287926,167584
945.960745823482,0.233986347330156,304864,177877
949.79902494866,0.233291397858582,320571,187341
953.632974465377,0.2317961153108,335139,196530
957.462594373634,0.231068323772632,348931,204961
961.287884673431,0.230958408755869,361977,212678
965.108845364766,0.229920658859398,374576,220607
970.196724673387,0.229363528959477,390955,230549
974.007582944981,0.228693751374282,402533,237743
977.814111608115,0.228589890537916,414010,244580
981.616310662789,0.228162237328115,424006,250732
985.414180109002,0.2278256796229,433588,256597
989.207719946754,0.226944317824943,442171,262208
992.996930176046,0.226838626426185,450198,267033
996.781810796877,0.226447963289442,457304,271492
1001.82158334482,0.226028502219451,465995,276919
1005.59636154591,0.225297184092702,470990,280359
1009.36681013854,0.224986726529356,475594,283302
1013.13292912271,0.224598340061937,479362,285802
1016.89471849842,0.224492380884112,482421,287696
1020.65217826567,0.223642342862432,484465,289481
1024.40530842446,0.223867591303053,486441,290511
1028.15410897478,0.223377698139106,488000,291771
1033.14577476206,0.223075868448849,489446,292839
1036.88447289264,0.222847901177814,489849,293234
1040.61884141477,0.222263353688457,490111,293786
1044.34888032843,0.222015680560431,490070,293929
1048.07458963364,0.221458853922348,488771,293526
1051.79596933038,0.221208740046684,487536,292953
1055.51301941866,0.220773288599533,485734,292163
1059.22573989848,0.220762851511232,485054,291761
1064.16929892509,0.220456817193282,484292,291508
1067.87191698517,0.219956363470084,484632,292049
1071.57020543679,0.219966492485047,485941,292831
1075.26416427995,0.219967081034794,486861,293385
1078.95379351464,0.219493714835648,488469,294675
1082.63909314088,0.219780651516949,490643,295791
1086.32006315866,0.219445560336009,493132,297521
1091.22128823587,0.219234991009856,496034,299417
1094.89215583391,0.219383681013206,499868,301628
1098.55869382348,0.218814677242523,503328,304114
1102.2209022046,0.219031168314316,507005,306183
1105.87878097725,0.218877629254974,510825,308599
1109.53233014145,0.219267209574801,514935,310803
1113.18154969718,0.219549467569856,519121,313126
