***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,FolHerbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,41.17,,,,,,System Temp (C):,41.22,,,,,,,
Humidity (%):,41,,,,,,Humidity (%):,43.15,,,,,,,
Lamp ADC:,3083,3086,851,854,,,Lamp ADC:,3083,3086,851,853,,,,
Data Date-Time:,2025/04/03T11:40:16,,,,,,Data Date-Time:,2025/04/03T11:34:43,,,,,,,
Total Measurement Time in sec:,6.4766944,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-2.27453457587495,0.0384893477179632,-0.000120883834660424,,,,,
Serial Number:,C23R004,(95UB125GC0VC23R004),,,,,Pixel to Wavelength Coefficients:,1773.06832862561,-0.918144602406657,-0.000240533803363975,,,,,
GUI Version:,3.13.1,Revision:,930,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,13min 25sec ,,,,,,,
UUID:,DE:67:0C:88:67:66:73:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,F,,,,,,Device Status:,0x00000011,Activation Status:,Activated,,,,,
Detector Board Version:,C,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.860912737931,0.189882862778772,118180,76324
904.749703961815,0.188341631623327,127079,82363
909.9280239805,0.184123429288946,138883,90892
913.806712784643,0.181682009791929,149523,98407
917.681071980326,0.17956075328026,162436,107429
921.551101567548,0.17709208989088,178118,118472
925.41680154631,0.175434929542848,196377,131116
929.278171916611,0.173575298404255,217641,145937
933.135212678451,0.171454042099415,239781,161570
936.987923831831,0.169458308691341,262213,177499
942.118137089843,0.167316192711755,289013,196608
945.960745823482,0.165495596379618,306165,209151
949.79902494866,0.163235119855467,321669,220889
953.632974465377,0.161859523029094,336434,231761
957.462594373634,0.160805853557336,350323,241915
961.287884673431,0.160076826395343,363497,251434
965.108845364766,0.158223227524398,376029,261215
970.196724673387,0.157027825503169,392643,273508
974.007582944981,0.155544713790189,404451,282697
977.814111608115,0.154827629787377,415636,290995
981.616310662789,0.153693377575312,425792,298885
985.414180109002,0.152411360208843,435430,306554
989.207719946754,0.151885252821323,444225,313125
992.996930176046,0.150775748949902,451981,319407
996.781810796877,0.149631614340938,458852,325118
1001.82158334482,0.148539666468955,467712,332230
1005.59636154591,0.147924505853017,473161,336577
1009.36681013854,0.147098180815494,477738,340480
1013.13292912271,0.146022154782467,481484,344001
1016.89471849842,0.145376647013006,484629,346763
1020.65217826567,0.144832542599865,486571,348589
1024.40530842446,0.143934165516265,488552,350733
1028.15410897478,0.142956058908333,490145,352670
1033.14577476206,0.142287933245927,491208,353979
1036.88447289264,0.141033329001104,491641,355316
1040.61884141477,0.140555554119373,492466,356304
1044.34888032843,0.140131921354972,492436,356630
1048.07458963364,0.139415090906759,491038,356205
1051.79596933038,0.138384764772368,489554,355972
1055.51301941866,0.138239300645625,488051,354998
1059.22573989848,0.137671130723109,487358,354958
1064.16929892509,0.136484521920617,486350,355193
1067.87191698517,0.13576061362304,486732,356065
1071.57020543679,0.135607098152581,487962,357091
1075.26416427995,0.135342250232807,489220,358230
1078.95379351464,0.134584559160394,490618,359881
1082.63909314088,0.134009452099836,492723,361904
1086.32006315866,0.134142765049725,495500,363832
1091.22128823587,0.133551944214405,498406,366464
1094.89215583391,0.1333057302864,502219,369477
1098.55869382348,0.132656477197299,505797,372666
1102.2209022046,0.132586290206109,509424,375399
1105.87878097725,0.13230328309919,513326,378521
1109.53233014145,0.132155585831169,517068,381410
1113.18154969718,0.1324193885007,521666,384568
