***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,FolHerbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,41.58,,,,,,System Temp (C):,41.34,,,,,,,
Humidity (%):,44.43,,,,,,Humidity (%):,44.21,,,,,,,
Lamp ADC:,3077,3078,831,849,,,Lamp ADC:,3077,3078,831,849,,,,
Data Date-Time:,2025/04/03T11:24:13,,,,,,Data Date-Time:,2025/04/03T11:21:48,,,,,,,
Total Measurement Time in sec:,6.4756182,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.74589567087503,0.0468271937173058,-9.53581739805986E-05,,,,,
Serial Number:,C23R002,(95UB125GC0VC23R002),,,,,Pixel to Wavelength Coefficients:,1756.1983651918,-0.919335509971685,-0.000241825006214287,,,,,
GUI Version:,3.13.1,Revision:,930,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,11min 53sec ,,,,,,,
UUID:,DE:67:0C:88:67:76:74:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,F,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,C,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.701099874012,0.132143651114956,90905,67057
905.577788882674,0.129312820441425,98658,73252
909.450125041225,0.126540878806488,106456,79548
913.318108349663,0.124893578351472,115400,86559
917.18173880799,0.124611477556704,126466,94921
921.041016416205,0.122245206034647,139573,105331
926.179948793651,0.121276227149869,161729,122324
930.029069751605,0.120109430184975,181960,137996
933.873837859447,0.118608188659068,204358,155519
937.714253117177,0.117028438465538,225867,172514
941.550315524795,0.116214460320081,244010,186721
945.382025082302,0.114630121387874,259668,199429
949.209381789697,0.11353542591361,273271,210406
954.305752966049,0.112019179415788,288555,222951
958.122953023182,0.111456082799207,298925,231263
961.935800230204,0.110639995850115,308516,239132
965.744294587114,0.110157000614951,317832,246627
969.548436093912,0.10945672316996,326567,253814
973.348224750598,0.109468019787016,335119,260454
977.143660557173,0.108319300752422,343354,267561
982.197470532431,0.107611771156256,354213,276473
985.982749688744,0.106707454971636,361839,283014
989.763675994946,0.106387526078139,369330,289086
993.540249451036,0.105080740050116,376571,295642
997.312470057013,0.105171064428124,383757,301221
1001.08033781288,0.104360785753785,390571,307142
1004.84385271863,0.10332136901433,397103,313027
1009.8551014928,0.102531114568976,405240,320023
1013.60845974829,0.101881913851128,410241,324457
1017.35746515367,0.101153893608672,415171,328907
1021.10211770894,0.100181207205364,419115,332776
1024.8424174141,0.0996732357301279,422950,336214
1028.57836426914,0.0987215705084654,425938,339332
1032.30995827408,0.0984255231361989,428519,341621
1037.27864584715,0.0973610265244551,431135,344550
1041.00008320182,0.0971233829657668,433139,346341
1044.71716770638,0.0966231565128758,435125,348330
1048.42989936083,0.0964973816402902,436580,349596
1052.13827816517,0.0962656849708468,437961,350889
1055.8423041194,0.095964759497534,439672,352504
1059.54197722351,0.0954866465171755,441087,354028
1064.46810359549,0.0948119975879777,441400,354830
1068.15762004934,0.0942026412064194,439719,353975
1071.84278365308,0.0937978690103878,436996,352111
1075.52359440671,0.0928899153732022,433433,349971
1079.20005231022,0.0922378363474825,431692,349089
1082.87215736363,0.0919122974989276,431177,348934
1086.53990956692,0.0915432544358265,431817,349749
1091.42347473781,0.0904665815747373,433360,351870
1095.08107029084,0.090537343129497,435840,353826
1098.73431299376,0.0901940130031988,438196,356020
1102.38320284657,0.0900934596640317,441796,359028
1106.02773984926,0.0900900889259561,445430,361984
1109.66792400185,0.0900253398441527,449281,365168
1113.30375530432,0.0896476835010862,453767,369135
