***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,FolHerbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,36.19,,,,,,System Temp (C):,34.58,,,,,,,
Humidity (%):,54.66,,,,,,Humidity (%):,55.5,,,,,,,
Lamp ADC:,3066,3082,830,851,,,Lamp ADC:,3066,3082,829,852,,,,
Data Date-Time:,2025/04/03T10:08:01,,,,,,Data Date-Time:,2025/04/03T10:04:10,,,,,,,
Total Measurement Time in sec:,6.4646457,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,0.392694521123758,0.0064508848494657,-3.36963000867986E-05,,,,,
Serial Number:,C23R003,(95UB125GC0VC23R003),,,,,Pixel to Wavelength Coefficients:,1737.96619343203,-0.927679554192883,-0.000240514673521399,,,,,
GUI Version:,3.13.1,Revision:,930,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,4min 22sec ,,,,,,,
UUID:,DE:67:0C:88:67:47:5F:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,F,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,C,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.114121469303,0.179004188915488,104266,69046
904.983805426851,0.179076748852951,112980,74804
908.849160120276,0.175102333680864,120631,80604
913.996231967317,0.17573918388274,133167,88850
917.851485044454,0.176158665035759,144978,96637
921.702408857468,0.174465741534752,159204,106534
925.549003406358,0.174578504433303,176682,118199
929.391268691125,0.172700474793564,195710,131496
933.229204711769,0.171890542380417,215959,145372
937.062811468289,0.171118754264657,236292,159342
942.16755273279,0.168585890396332,260298,176557
945.991057873023,0.168437874516755,277494,188285
949.810233749132,0.167258283281834,293572,199736
953.625080361117,0.166069127547459,309422,211097
957.435597708979,0.165903429239233,325228,221965
961.241785792718,0.164755715447569,339974,232643
966.309968826844,0.164115066523976,359407,246304
970.106055294295,0.163491074447477,372563,255687
973.897812497622,0.163642117003608,384852,264029
977.685240436826,0.162901857254023,395436,271753
981.468339111907,0.162239974123489,405180,278874
985.247108522864,0.161465077118868,412755,284595
989.021548669698,0.161233679801122,418961,289028
994.047401121285,0.160775971065942,424849,293399
997.811739651831,0.160426302537572,428457,296129
1001.57174891825,0.160312400836354,431835,298542
1005.32742892055,0.159182621012436,432919,300071
1009.07877965873,0.158906887365882,434347,301252
1012.82580113278,0.159214153812828,435914,302125
1016.56849334271,0.15852789782608,436358,302911
1021.55201521176,0.158460399762886,436705,303199
1025.2846058054,0.157830234980077,436102,303220
1029.01286713492,0.157331961116843,435408,303085
1032.73679920031,0.156760482381605,434065,302548
1036.45640200158,0.156763069226649,433630,302243
1040.17167553873,0.156187642116533,433692,302687
1045.1186391774,0.156239345429608,434420,303159
1048.82381109826,0.155508021875408,434041,303405
1052.524653755,0.155663891738049,434307,303482
1056.22116714761,0.155553768027193,435320,304267
1059.9133512761,0.155417763063091,436644,305288
1063.60120614046,0.155435848755334,437559,305915
1067.28473174071,0.155287772642741,437916,306269
1072.18936479684,0.154724676291967,439809,307992
1075.86278878079,0.154602641539499,441764,309448
1079.53188350063,0.154379524461862,443997,311172
1083.19664895633,0.154320517434551,446576,313022
1086.85708514792,0.154272534259424,448461,314378
1090.51319207538,0.154383046327392,449641,315125
1094.16496973872,0.154053726963581,450850,316212
1099.02727221231,0.153888523913473,453291,318045
1102.66894825936,0.154162668427274,455387,319314
1106.30629504229,0.153780255478538,457380,320994
1109.93931256109,0.153417438992608,459518,322764
1113.56800081577,0.153651397539438,462059,324374
1117.19235980633,0.153885642094407,464382,325829
