***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,FolHerbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,37.36,,,,,,System Temp (C):,33.05,,,,,,,
Humidity (%):,52.32,,,,,,Humidity (%):,56.81,,,,,,,
Lamp ADC:,3069,3082,845,843,,,Lamp ADC:,3069,3082,845,843,,,,
Data Date-Time:,2025/04/03T10:08:43,,,,,,Data Date-Time:,2025/04/03T09:44:56,,,,,,,
Total Measurement Time in sec:,6.4617555,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-4.78706677830951,0.0420606707536571,-9.21439965724389E-05,,,,,
Serial Number:,C23R001,(95UB125GC0VC23R001),,,,,Pixel to Wavelength Coefficients:,1777.69850932213,-0.910890781979712,-0.000240535926235214,,,,,
GUI Version:,3.13.1,Revision:,930,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,3min 41sec ,,,,,,,
UUID:,DE:67:0C:88:67:3E:75:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,F,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,C,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.868887283122,0.304997084864042,106016,52526
904.747472781646,0.297890786336483,114412,57621
909.912185107076,0.295951998191046,125583,63530
913.780668096698,0.293619094432471,136369,69358
917.644821439648,0.293760447156882,150181,76358
921.504645135925,0.292084732141869,166548,85007
925.36013918553,0.290648014915386,186373,95441
929.211303588463,0.289458558345037,208093,106856
933.058138344724,0.287262712295118,230066,118738
938.180516347137,0.282628255872656,257058,134092
942.017248594496,0.280718850612424,274755,143955
945.849651195182,0.277255267379241,291117,153749
949.677724149196,0.274510623745174,306467,162882
953.501467456539,0.27349470497435,321547,171297
957.320881117208,0.270666732770547,336390,180375
961.135965131206,0.27018346519053,351284,188571
966.216008810601,0.26901737199392,371115,199752
970.020990315697,0.267315918723337,385594,208360
973.821642174121,0.267150298339333,400237,216355
977.617964385872,0.265716625526616,413886,224473
981.409956950951,0.264782321496928,426674,231907
985.197619869358,0.263604943272115,438251,238846
988.980953141092,0.262353618742337,448275,245014
994.01866249747,0.261388020137803,460122,252049
997.791893260303,0.259875581488713,467400,256929
1001.56079437646,0.259321156715829,474122,260957
1005.32536584595,0.258138112520071,479337,264547
1009.08560766877,0.25717469424084,483986,267706
1012.84151984491,0.255847136687973,487195,270306
1016.59310237438,0.255149993075661,489129,271815
1021.58847740774,0.253554923470199,490624,273649
1025.32995742831,0.253123827030012,491837,274598
1029.06710780221,0.251725889073148,491840,275485
1032.79992852944,0.25153149583118,490799,275025
1036.52841960999,0.250620200427184,489382,274807
1040.25258104387,0.250147392777981,488387,274547
1043.97241283108,0.248873963835235,487271,274724
1047.68791497161,0.248661688815704,487469,274970
1052.63518281973,0.248091199099871,486606,274844
1056.34058245136,0.246754579191208,486468,275613
1060.04165243632,0.246568866761225,488326,276784
1063.73839277461,0.24573204975234,491230,278967
1067.43080346623,0.245924480504014,493530,280149
1071.11888451118,0.245570292289141,492024,279522
1074.80263590945,0.244713558152708,487655,277587
1079.70756943455,0.244247935905993,482568,274986
1083.38121832392,0.243189119009984,481610,275110
1087.05053756662,0.242565060581214,481789,275608
1090.71552716264,0.242438549939629,482318,275991
1094.376187112,0.241416400178886,484434,277855
1098.03251741468,0.240918437830449,486202,279189
1101.68451807069,0.240970149963085,488700,280590
1106.54711727277,0.24035898002925,492053,282913
1110.18901541988,0.239840512087737,494129,284446
1113.82658392031,0.239607139758762,497053,286283
1117.45982277408,0.239431372640535,499325,287708
1121.08873198117,0.239075026516264,501775,289357
1124.71331154159,0.239169918819007,504025,290591
1128.33356145534,0.23968165486944,507455,292224
1133.1538263344,0.23931901571626,510630,294298
1136.76397373924,0.239144552130066,513108,295845
1140.36979149742,0.239616916716001,515486,296893
1143.97127960892,0.239923241671803,518138,298210
1147.56843807374,0.239525769763974,520898,300073
1151.1612668919,0.240895765619755,524219,301035
1154.74976606338,0.240755180800998,527101,302788
1159.52769661943,0.24112420933675,531133,304845
1163.10609328201,0.24119188979516,534098,306499
1166.68016029792,0.241869414756396,537576,308014
1170.24989766716,0.242209305059836,541471,310003
1173.81530538972,0.242517323159084,545746,312229
1177.37638346562,0.242840295556769,550009,314434
1180.93313189484,0.242868026407806,554183,316800
1185.66872812787,0.2436848568927,561576,320423
1189.21537404818,0.244179861471938,567189,323257
1192.75769032183,0.243775177629948,572570,326628
1196.29567694881,0.244208295529048,579253,330111
1199.82933392911,0.244232392566805,585606,333713
1203.35866126274,0.243826889744443,592514,337965
1206.8836589497,0.244287170542512,599392,341526
1211.57692085971,0.243847427518035,608509,347072
1215.09181603776,0.243622510045611,616232,351659
1218.60238156915,0.243349095717766,623991,356311
1222.10861745386,0.242551858562012,631405,361207
1225.6105236919,0.242375290720079,639069,365740
1229.10810028326,0.241656142591668,646371,370532
1232.60134722796,0.241212091630207,653352,374917
1236.09026452598,0.240855792411155,660549,379358
1240.73541925074,0.240076980494614,673034,387222
1244.21423403986,0.240107287478231,684522,393804
1247.68871918231,0.239961841959203,695975,400527
1251.15887467809,0.239777241989156,707254,407191
1254.62470052719,0.239796497713817,718779,413808
1258.08619672962,0.239515068809929,729593,420306
1261.54336328538,0.2393265573347,739399,426140
1266.14618368713,0.239354183375659,752422,433618
1269.59324773399,0.239309040126119,761307,438784
1273.03598213417,0.238861381794456,770397,444481
1276.47438688769,0.238757168812073,778178,449078
1279.90846199453,0.239065848286679,785756,453129
1283.3382074547,0.238919082195399,792863,457382
1286.76362326819,0.238386553250887,799009,461493
1291.32410934692,0.238643092320079,806596,465600
1294.73942265151,0.238474165766533,811732,468747
1298.15040630944,0.238017800833918,816166,471803
1301.55706032069,0.238578445672505,820979,473973
1304.95938468526,0.238357382986187,824434,476210
1308.35737940317,0.238101894480348,826586,477734
1311.7510444744,0.238064428619192,829006,479174
1316.26919623011,0.23845561152049,831431,480143
1319.65275879245,0.238628935051545,832364,480490
1323.03199170811,0.23896616798533,833073,480526
1326.40689497709,0.239093291201649,833551,480661
