***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,FolHerbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,40.4,,,,,,System Temp (C):,40.23,,,,,,,
Humidity (%):,47,,,,,,Humidity (%):,47.35,,,,,,,
Lamp ADC:,3077,3079,831,849,,,Lamp ADC:,3078,3078,831,849,,,,
Data Date-Time:,2025/04/03T10:56:29,,,,,,Data Date-Time:,2025/04/03T10:54:30,,,,,,,
Total Measurement Time in sec:,6.4922279,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.74589567087503,0.0468271937173058,-9.53581739805986E-05,,,,,
Serial Number:,C23R002,(95UB125GC0VC23R002),,,,,Pixel to Wavelength Coefficients:,1756.1983651918,-0.919335509971685,-0.000241825006214287,,,,,
GUI Version:,3.13.1,Revision:,930,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,8min 32sec ,,,,,,,
UUID:,DE:67:0C:88:67:76:74:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,F,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,C,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.701099874012,0.235066727900839,90814,52855
905.577788882674,0.230288164955491,98589,58015
909.450125041225,0.228061100054966,106506,62996
913.318108349663,0.225567965426851,115473,68693
917.18173880799,0.222936096850046,126904,75952
921.041016416205,0.218158975874826,139784,84586
926.179948793651,0.215452200003694,162223,98778
930.029069751605,0.213221045837963,182892,111937
933.873837859447,0.208858680110355,205143,126823
937.714253117177,0.206892668881133,226681,140774
941.550315524795,0.203813199229283,244819,153120
945.382025082302,0.201681366681602,260455,163701
949.209381789697,0.199119100106268,273574,172964
954.305752966049,0.195626376586253,289067,184235
958.122953023182,0.193515278313563,299165,191600
961.935800230204,0.190814710030948,308531,198831
965.744294587114,0.188520729021404,317641,205786
969.548436093912,0.186900162588926,326692,212441
973.348224750598,0.185199058933102,335010,218705
977.143660557173,0.182270057949048,343433,225721
982.197470532431,0.180131466237126,353896,233746
985.982749688744,0.178660928253448,362070,239956
989.763675994946,0.176634577053829,369525,246042
993.540249451036,0.174778031220094,376437,251718
997.312470057013,0.173231928524724,383237,257179
1001.08033781288,0.171166096192777,390569,263349
1004.84385271863,0.169844038605373,396550,268197
1009.8551014928,0.167930475258377,404696,274915
1013.60845974829,0.166019001668495,410024,279763
1017.35746515367,0.164501591662905,414931,284102
1021.10211770894,0.162925974585959,418801,287794
1024.8424174141,0.161175324885405,422531,291530
1028.57836426914,0.159794901585095,425861,294763
1032.30995827408,0.158380468408614,428111,297287
1037.27864584715,0.156452882455664,430724,300432
1041.00008320182,0.154758737794416,432683,302978
1044.71716770638,0.153963231571827,434611,304886
1048.42989936083,0.152398466444931,435998,306963
1052.13827816517,0.150991970859057,437509,309026
1055.8423041194,0.149277281034382,438965,311281
1059.54197722351,0.148968125709202,440765,312780
1064.46810359549,0.147116492513532,441010,314291
1068.15762004934,0.145932468483397,439598,314140
1071.84278365308,0.145075658398353,436828,312777
1075.52359440671,0.143980712976009,433318,311047
1079.20005231022,0.143231572435773,431613,310358
1082.87215736363,0.142117098727274,430984,310702
1086.53990956692,0.141092751685641,431603,311883
1091.42347473781,0.140161236637002,433342,313812
1095.08107029084,0.139192557862697,435602,316153
1098.73431299376,0.138042634423094,438023,318753
1102.38320284657,0.138134936049325,441944,321538
1106.02773984926,0.137213282363506,445728,324980
1109.66792400185,0.136776688522048,449403,327989
1113.30375530432,0.135963639339876,453970,331943
