***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,FolHerbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,41.28,,,,,,System Temp (C):,41.46,,,,,,,
Humidity (%):,46.34,,,,,,Humidity (%):,47.96,,,,,,,
Lamp ADC:,3077,3079,831,849,,,Lamp ADC:,3077,3079,831,849,,,,
Data Date-Time:,2025/04/03T11:09:46,,,,,,Data Date-Time:,2025/04/03T11:03:59,,,,,,,
Total Measurement Time in sec:,6.4804714,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.74589567087503,0.0468271937173058,-9.53581739805986E-05,,,,,
Serial Number:,C23R002,(95UB125GC0VC23R002),,,,,Pixel to Wavelength Coefficients:,1756.1983651918,-0.919335509971685,-0.000241825006214287,,,,,
GUI Version:,3.13.1,Revision:,930,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,10min 18sec ,,,,,,,
UUID:,DE:67:0C:88:67:76:74:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,F,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,C,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.701099874012,0.318202643354852,90921,43698
905.577788882674,0.315021187078551,98825,47846
909.450125041225,0.307498483845751,106535,52480
913.318108349663,0.305179884740181,115563,57232
917.18173880799,0.303236471723096,126487,62923
921.041016416205,0.301517588428642,139917,69880
926.179948793651,0.296821703572047,161856,81716
930.029069751605,0.292427716148792,181805,92721
933.873837859447,0.291507723072218,204845,104693
937.714253117177,0.288356259559466,226122,116409
941.550315524795,0.284670213846606,244163,126768
945.382025082302,0.282951157923901,260171,135615
949.209381789697,0.279992377784727,273143,143350
954.305752966049,0.277725172198361,288968,152449
958.122953023182,0.274931550576781,299001,158760
961.935800230204,0.272902814914846,308735,164696
965.744294587114,0.270986935022594,317652,170202
969.548436093912,0.2691108057113,326559,175732
973.348224750598,0.267060430320592,334951,181101
977.143660557173,0.265089214482646,343137,186371
982.197470532431,0.263113745238026,354237,193277
985.982749688744,0.261789867052475,361913,198068
989.763675994946,0.260231918142679,369298,202836
993.540249451036,0.258996062965674,376589,207430
997.312470057013,0.258086348843974,383700,211790
1001.08033781288,0.256339412278878,390442,216380
1004.84385271863,0.255569041855222,396737,220259
1009.8551014928,0.254216144704779,404957,225524
1013.60845974829,0.253240585886962,410267,228995
1017.35746515367,0.252050174236666,415158,232361
1021.10211770894,0.251774976496528,419225,234786
1024.8424174141,0.249635998537299,422732,237919
1028.57836426914,0.249189081809971,426069,240044
1032.30995827408,0.248280170983882,428680,242021
1037.27864584715,0.247038142896457,430861,243949
1041.00008320182,0.246522602254694,433123,245521
1044.71716770638,0.245778618538076,434900,246951
1048.42989936083,0.245328629869286,436661,248208
1052.13827816517,0.244460532099376,437687,249289
1055.8423041194,0.243915131421546,439277,250509
1059.54197722351,0.243835229018028,441002,251539
1064.46810359549,0.242622390654122,441232,252374
1068.15762004934,0.241927465203749,439858,251991
1071.84278365308,0.241359146992344,436450,250366
1075.52359440671,0.241022692506286,433426,248824
1079.20005231022,0.239349203203003,431445,248643
1082.87215736363,0.239221982546676,431277,248619
1086.53990956692,0.238999376984502,431805,249051
1091.42347473781,0.238268902092646,433667,250546
1095.08107029084,0.237971330990487,435987,252059
1098.73431299376,0.236510251181706,438167,254173
1102.38320284657,0.237048722091803,441707,255909
1106.02773984926,0.236249326266936,445605,258643
1109.66792400185,0.235665518502537,449220,261092
1113.30375530432,0.235498243624408,453787,263848
1118.14475927411,0.235160458637562,460219,267796
1121.77043392632,0.23531163155908,465155,270574
1125.39175572842,0.234493551526275,470589,274251
1129.00872468041,0.234463356016751,476275,277584
1132.62134078229,0.234155977797593,481735,280965
1136.22960403405,0.234270477029271,487441,284218
1139.83351443571,0.234202031497679,492956,287479
1144.6319572044,0.234112453672939,500636,292018
1148.22571095579,0.234140907009526,506469,295401
1151.81511185707,0.233939390383991,511987,298758
1155.40015990824,0.234023270774401,517540,301940
1158.9808551093,0.234264012434841,523742,305389
1162.55719746024,0.233970143218048,529465,308935
1166.12918696107,0.233836382425245,534495,311966
1170.88506852868,0.233760719117519,542328,316593
