***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,FolHerbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,40.7,,,,,,System Temp (C):,41,,,,,,,
Humidity (%):,39.67,,,,,,Humidity (%):,40.91,,,,,,,
Lamp ADC:,3083,3086,851,853,,,Lamp ADC:,3083,3085,851,854,,,,
Data Date-Time:,2025/04/03T11:49:53,,,,,,Data Date-Time:,2025/04/03T11:42:37,,,,,,,
Total Measurement Time in sec:,6.4716883,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-2.27453457587495,0.0384893477179632,-0.000120883834660424,,,,,
Serial Number:,C23R004,(95UB125GC0VC23R004),,,,,Pixel to Wavelength Coefficients:,1773.06832862561,-0.918144602406657,-0.000240533803363975,,,,,
GUI Version:,3.13.1,Revision:,930,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,14min 25sec ,,,,,,,
UUID:,DE:67:0C:88:67:66:73:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,F,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,C,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.860912737931,0.318489966130158,117775,56567
904.749703961815,0.315917812597711,126975,61348
909.9280239805,0.310773475760722,138785,67853
913.806712784643,0.307263784732865,149460,73665
917.681071980326,0.303203176270795,162278,80734
921.551101567548,0.298833651125396,177512,89206
925.41680154631,0.295968259294986,196447,99375
929.278171916611,0.292544803152607,217030,110656
933.135212678451,0.290145696238572,239492,122785
936.987923831831,0.286741265016444,261658,135205
942.118137089843,0.282266658725111,288215,150470
945.960745823482,0.281410222591393,305915,160026
949.79902494866,0.277657352493682,321240,169501
953.632974465377,0.275383763663277,336144,178296
957.462594373634,0.273398675528545,350139,186570
961.287884673431,0.270884957908821,363161,194632
965.108845364766,0.269073672078318,375840,202269
970.196724673387,0.265766137102909,392336,212761
974.007582944981,0.264746879354546,403998,219600
977.814111608115,0.262018211940589,415168,227094
981.616310662789,0.260607779785113,425528,233518
985.414180109002,0.258706108646183,435175,239860
989.207719946754,0.256570341212626,443645,245734
992.996930176046,0.255349827083765,451623,250857
996.781810796877,0.2536821327605,458748,255795
1001.82158334482,0.251562452369319,467567,261988
1005.59636154591,0.250420094151938,472866,265655
1009.36681013854,0.248222273404544,477324,269520
1013.13292912271,0.247713767087498,481347,272110
1016.89471849842,0.245296652228845,484083,275184
1020.65217826567,0.244298561631844,486245,277049
1024.40530842446,0.24314766749377,488361,278993
1028.15410897478,0.242034314595134,490091,280700
1033.14577476206,0.239970606474502,490932,282521
1036.88447289264,0.238822669603507,491617,283664
1040.61884141477,0.238135346475628,491947,284304
1044.34888032843,0.23703313427728,491853,284972
1048.07458963364,0.235930860168027,491059,285235
1051.79596933038,0.234774378077543,489511,285094
1055.51301941866,0.233789774237429,488041,284883
1059.22573989848,0.23260993886133,486787,284924
1064.16929892509,0.231159398230899,486114,285482
1067.87191698517,0.230482199531151,486800,286331
1071.57020543679,0.229757010020915,487753,287371
1075.26416427995,0.229103177574714,488997,288538
1078.95379351464,0.227710406968274,490342,290261
1082.63909314088,0.227117800564891,492462,291914
1086.32006315866,0.226309873045806,495130,294042
1091.22128823587,0.225773655024938,498256,296264
1094.89215583391,0.224633358566642,501829,299173
1098.55869382348,0.224120446889304,505643,301803
1102.2209022046,0.223467698698412,509116,304333
1105.87878097725,0.22296159832612,512931,306971
1109.53233014145,0.223013997394249,517139,309452
1113.18154969718,0.222373107143787,521002,312224
