***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,FolHerbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,39,,,,,,System Temp (C):,38.57,,,,,,,
Humidity (%):,44.07,,,,,,Humidity (%):,43.42,,,,,,,
Lamp ADC:,3083,3085,851,854,,,Lamp ADC:,3083,3085,851,853,,,,
Data Date-Time:,2025/04/03T11:01:13,,,,,,Data Date-Time:,2025/04/03T10:57:31,,,,,,,
Total Measurement Time in sec:,6.4642985,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-2.27453457587495,0.0384893477179632,-0.000120883834660424,,,,,
Serial Number:,C23R004,(95UB125GC0VC23R004),,,,,Pixel to Wavelength Coefficients:,1773.06832862561,-0.918144602406657,-0.000240533803363975,,,,,
GUI Version:,3.13.1,Revision:,930,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,8min 43sec ,,,,,,,
UUID:,DE:67:0C:88:67:66:73:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,F,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,C,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.860912737931,0.22458064342147,117797,70235
904.749703961815,0.220585662757326,126691,76236
909.9280239805,0.216823576606095,138167,83865
913.806712784643,0.21714249560442,149328,90573
917.681071980326,0.213844008383422,162057,99043
921.551101567548,0.213445036794465,178074,108932
925.41680154631,0.21213251587115,196998,120873
929.278171916611,0.209990439975393,218333,134626
933.135212678451,0.209968202164558,240719,148437
936.987923831831,0.207584986248021,262473,162742
942.118137089843,0.206251471367637,288404,179370
945.960745823482,0.205307729118124,305439,190378
949.79902494866,0.203834700110003,320802,200633
953.632974465377,0.202320717246312,335296,210430
957.462594373634,0.202344285165334,349128,219099
961.287884673431,0.20041822739833,361634,227956
965.108845364766,0.199775029153036,374188,236219
970.196724673387,0.199088752659948,390879,247146
974.007582944981,0.198490197669944,402393,254777
977.814111608115,0.197503160664225,413276,262263
981.616310662789,0.196844272266742,423569,269203
985.414180109002,0.19594627097714,433120,275843
989.207719946754,0.195483744381842,441739,281632
992.996930176046,0.194835553584979,449669,287116
996.781810796877,0.194070391088328,456560,292030
1001.82158334482,0.193179419354214,464895,297972
1005.59636154591,0.193033791285307,470368,301581
1009.36681013854,0.192453492655245,474732,304786
1013.13292912271,0.191932087798608,478828,307785
1016.89471849842,0.191930906136164,481725,309648
1020.65217826567,0.191163667063305,483712,311475
1024.40530842446,0.191289390863315,485668,312644
1028.15410897478,0.190962127664097,487362,313971
1033.14577476206,0.190429006346301,488316,314972
1036.88447289264,0.189688729721397,488868,315866
1040.61884141477,0.189619776769493,489332,316216
1044.34888032843,0.189358369514428,489418,316462
1048.07458963364,0.18892695831595,488260,316027
1051.79596933038,0.188913818766659,487000,315221
1055.51301941866,0.188793711875265,485466,314315
1059.22573989848,0.188079888920558,484183,314000
1064.16929892509,0.188041720251235,483516,313595
1067.87191698517,0.187476282489756,484128,314401
1071.57020543679,0.187205995773919,485141,315255
1075.26416427995,0.187212402276393,486467,316112
1078.95379351464,0.186957118754931,487916,317240
1082.63909314088,0.186675719885415,490239,318957
1086.32006315866,0.186771394680175,492693,320483
1091.22128823587,0.18651936834528,495772,322673
1094.89215583391,0.186418173898851,499423,325125
1098.55869382348,0.186541062030242,503504,327689
1102.2209022046,0.185914136508904,506704,330248
1105.87878097725,0.186239324627091,510870,332714
1109.53233014145,0.186031217681456,514525,335255
1113.18154969718,0.185739352045873,518693,338198
