***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,FolHerbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,39.57,,,,,,System Temp (C):,39.77,,,,,,,
Humidity (%):,42.77,,,,,,Humidity (%):,43.47,,,,,,,
Lamp ADC:,3083,3085,851,854,,,Lamp ADC:,3083,3086,851,853,,,,
Data Date-Time:,2025/04/03T11:10:53,,,,,,Data Date-Time:,2025/04/03T11:07:08,,,,,,,
Total Measurement Time in sec:,6.4869538,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-2.27453457587495,0.0384893477179632,-0.000120883834660424,,,,,
Serial Number:,C23R004,(95UB125GC0VC23R004),,,,,Pixel to Wavelength Coefficients:,1773.06832862561,-0.918144602406657,-0.000240533803363975,,,,,
GUI Version:,3.13.1,Revision:,930,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,9min 59sec ,,,,,,,
UUID:,DE:67:0C:88:67:66:73:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,F,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,C,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.860912737931,0.304941050160289,117790,58367
904.749703961815,0.304254309388578,126677,62870
909.9280239805,0.303860515015909,138540,68820
913.806712784643,0.30297976227327,149349,74340
917.681071980326,0.299544038940849,162222,81389
921.551101567548,0.299242482417785,177966,89350
925.41680154631,0.298219046847348,196506,98891
929.278171916611,0.29650064165101,217860,110072
933.135212678451,0.29503133540882,240217,121779
936.987923831831,0.294692121209741,262304,133080
942.118137089843,0.292381552500065,288415,147108
945.960745823482,0.292610330043867,305576,155779
949.79902494866,0.29181506817631,321429,164161
953.632974465377,0.290158245259126,335515,172010
957.462594373634,0.289377631181203,349198,179347
961.287884673431,0.289361987917103,362458,186164
965.108845364766,0.287765966315536,374975,193302
970.196724673387,0.287133693851748,391206,201963
974.007582944981,0.286501571946068,402807,208255
977.814111608115,0.286199057220539,414286,214339
981.616310662789,0.285847156924465,424700,219905
985.414180109002,0.285280400530281,434033,225031
989.207719946754,0.28528759930239,442579,229458
992.996930176046,0.284810125374253,450441,233791
996.781810796877,0.284423784619183,457775,237809
1001.82158334482,0.283903659166155,466229,242491
1005.59636154591,0.283644631305643,471558,245409
1009.36681013854,0.28338196863742,475972,247856
1013.13292912271,0.28272885112682,479642,250143
1016.89471849842,0.283181176969542,482950,251606
1020.65217826567,0.283107696441784,484964,252698
1024.40530842446,0.282775857908371,486797,253847
1028.15410897478,0.282367865047548,488524,254987
1033.14577476206,0.282576007440752,489661,255458
1036.88447289264,0.281822156561232,490178,256172
1040.61884141477,0.282015690546895,490385,256166
1044.34888032843,0.28227749170955,490470,256056
1048.07458963364,0.281876682955922,489298,255680
1051.79596933038,0.281800058279188,488056,255076
1055.51301941866,0.282027189346819,486485,254122
1059.22573989848,0.281101919761765,485442,254118
1064.16929892509,0.280777249127505,484686,253912
1067.87191698517,0.280677727255021,485470,254381
1071.57020543679,0.28003637111254,486280,255182
1075.26416427995,0.28040769389245,487867,255796
1078.95379351464,0.280106419558066,489143,256643
1082.63909314088,0.279845665532943,491118,257834
1086.32006315866,0.279786796022343,494152,259462
1091.22128823587,0.279563479446735,496759,260965
1094.89215583391,0.279245970588192,500847,263305
1098.55869382348,0.278250222158838,504249,265702
1102.2209022046,0.278684595060609,507852,267333
1105.87878097725,0.278168243937458,511884,269776
1109.53233014145,0.277823933183246,515602,271951
1113.18154969718,0.278147499272674,520058,274097
1116.82643964446,0.27783617070078,523811,276273
1121.67955796099,0.277955206167626,528895,278878
1125.31434548853,0.2783893035732,533141,280836
1128.9448034076,0.278023632420823,536907,283058
1132.57093171821,0.278068107230111,541511,285456
1136.19273042036,0.279006126754414,546024,287214
1139.81019951405,0.279345443691355,550138,289152
1143.42333899928,0.279661000346435,554144,291046
1147.03214887605,0.28002604857186,558888,293291
1151.83716043191,0.280620835672391,564724,295948
1155.43586788894,0.281291836707677,569322,297897
1159.03024573751,0.282249891767214,574207,299791
1162.62029397761,0.282773846687528,579353,302113
1166.20601260926,0.283071046951425,584359,304515
1169.78740163244,0.283525785619943,589328,306783
1173.36446104717,0.284418502159045,594712,308950
1176.93719085343,0.284723193219456,600837,311913
1181.69409564862,0.285647126143936,608346,315140
1185.25672303515,0.286227663373396,615065,318195
1188.81502081321,0.286521734869747,621240,321172
1192.36898898281,0.286515194652062,628223,324787
1195.91862754395,0.287128421478502,635557,328115
1199.46393649663,0.28704901669477,642190,331600
1203.00491584085,0.286879337843347,649975,335751
1206.54156557661,0.286117360560121,657412,340189
1211.25036361113,0.285742667743264,667146,345524
1214.77691092715,0.285933925382863,674815,349342
1218.29912863471,0.285020510774585,682324,353973
1221.8170167338,0.284479630590234,689938,358369
1225.33057522444,0.283699755635576,697498,362947
1228.83980410662,0.283408543350176,704576,366876
1232.34470338033,0.282576207643565,711197,371034
1237.01116746546,0.282154884381342,719701,375835
1240.50596431943,0.281836786878614,725726,379259
1243.99643156495,0.281338362628924,731805,382875
1247.482569202,0.28111581307926,739488,387093
1250.96437723059,0.280822123823252,748123,391878
1254.44185565073,0.280406113051911,756592,396694
