***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,FolHerbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,41.13,,,,,,System Temp (C):,41.22,,,,,,,
Humidity (%):,41.2,,,,,,Humidity (%):,43.15,,,,,,,
Lamp ADC:,3083,3085,851,854,,,Lamp ADC:,3083,3086,851,853,,,,
Data Date-Time:,2025/04/03T11:39:45,,,,,,Data Date-Time:,2025/04/03T11:34:43,,,,,,,
Total Measurement Time in sec:,6.5030797,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-2.27453457587495,0.0384893477179632,-0.000120883834660424,,,,,
Serial Number:,C23R004,(95UB125GC0VC23R004),,,,,Pixel to Wavelength Coefficients:,1773.06832862561,-0.918144602406657,-0.000240533803363975,,,,,
GUI Version:,3.13.1,Revision:,930,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,13min 20sec ,,,,,,,
UUID:,DE:67:0C:88:67:66:73:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,F,,,,,,Device Status:,0x00000011,Activation Status:,Activated,,,,,
Detector Board Version:,C,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.860912737931,0.263543490459321,118180,64417
904.749703961815,0.259789261193382,127079,69869
909.9280239805,0.256226051451237,138883,76988
913.806712784643,0.253505501373772,149523,83407
917.681071980326,0.24977410498792,162436,91392
921.551101567548,0.246769300073205,178118,100911
925.41680154631,0.244551714294567,196377,111825
929.278171916611,0.24220872856377,217641,124604
933.135212678451,0.238854438609113,239781,138344
936.987923831831,0.237322371677696,262213,151821
942.118137089843,0.234155126030229,289013,168563
945.960745823482,0.231356715344643,306165,179721
949.79902494866,0.228918550014707,321669,189885
953.632974465377,0.226315263594551,336434,199795
957.462594373634,0.225191823893508,350323,208582
961.287884673431,0.22348507588066,363497,217278
965.108845364766,0.22154356523544,376029,225776
970.196724673387,0.219148739342281,392643,237055
974.007582944981,0.217965805187025,404451,244850
977.814111608115,0.217030071660739,415636,252164
981.616310662789,0.215488783659293,425792,259244
985.414180109002,0.214039976254884,435430,265998
989.207719946754,0.213064429804947,444225,271981
992.996930176046,0.211392627315113,451981,277797
996.781810796877,0.210148691015541,458852,282829
1001.82158334482,0.2087051450406,467712,289250
1005.59636154591,0.207819794955329,473161,293217
1009.36681013854,0.207031818789255,477738,296591
1013.13292912271,0.20533467797526,481484,300087
1016.89471849842,0.204820431017408,484629,302405
1020.65217826567,0.203403490199777,486571,304609
1024.40530842446,0.202631956532657,488552,306393
1028.15410897478,0.201635697602147,490145,308098
1033.14577476206,0.200705821022443,491208,309428
1036.88447289264,0.199971300124214,491641,310225
1040.61884141477,0.199219453531173,492466,311284
1044.34888032843,0.198394298178187,492436,311857
1048.07458963364,0.19792203075427,491038,311310
1051.79596933038,0.196956435746599,489554,311060
1055.51301941866,0.196367237930666,488051,310526
1059.22573989848,0.195364294611849,487358,310802
1064.16929892509,0.194363121933508,486350,310875
1067.87191698517,0.193508513815375,486732,311732
1071.57020543679,0.19325534373202,487962,312702
1075.26416427995,0.192674150088752,489220,313928
1078.95379351464,0.191989205232647,490618,315322
1082.63909314088,0.19155453337523,492723,316992
1086.32006315866,0.19137824490202,495500,318908
1091.22128823587,0.190760404359527,498406,321235
1094.89215583391,0.190378959394722,502219,323977
1098.55869382348,0.189898904783821,505797,326646
1102.2209022046,0.18962353280923,509424,329197
1105.87878097725,0.189888768207691,513326,331516
1109.53233014145,0.189187894159479,517068,334472
1113.18154969718,0.189468905285498,521666,337228
1116.82643964446,0.189622265894982,525151,339361
1121.67955796099,0.189610691802801,530406,342766
1125.31434548853,0.189681890520465,534308,345231
