***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,FolHerbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,42.53,,,,,,System Temp (C):,42.99,,,,,,,
Humidity (%):,41.17,,,,,,Humidity (%):,40.96,,,,,,,
Lamp ADC:,3066,3081,829,851,,,Lamp ADC:,3066,3081,829,851,,,,
Data Date-Time:,2025/04/03T11:33:35,,,,,,Data Date-Time:,2025/04/03T11:29:42,,,,,,,
Total Measurement Time in sec:,6.4816973,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,0.392694521123758,0.0064508848494657,-3.36963000867986E-05,,,,,
Serial Number:,C23R003,(95UB125GC0VC23R003),,,,,Pixel to Wavelength Coefficients:,1737.96619343203,-0.927679554192883,-0.000240514673521399,,,,,
GUI Version:,3.13.1,Revision:,930,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,15min 26sec ,,,,,,,
UUID:,DE:67:0C:88:67:47:5F:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,F,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,C,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.114121469303,0.197294423256118,104933,66622
904.983805426851,0.194923653529227,113181,72252
908.849160120276,0.193482789675342,121248,77659
913.996231967317,0.194169345989419,133082,85104
917.851485044454,0.192237518025136,144004,92499
921.702408857468,0.19244760702562,157380,101042
925.549003406358,0.18967362028646,173170,111892
929.391268691125,0.189964070330711,191946,123941
933.229204711769,0.187575922749302,211646,137415
937.062811468289,0.187912280708544,232070,150559
942.16755273279,0.185880021867705,258151,168265
945.991057873023,0.18485844117809,276060,180362
949.810233749132,0.1840387397977,293024,191807
953.625080361117,0.184418556211744,309794,202607
957.435597708979,0.18312404083393,326181,213961
961.241785792718,0.182590867984549,341648,224382
966.309968826844,0.182026705833365,361613,237803
970.106055294295,0.181606534725467,375542,247202
973.897812497622,0.180689650902191,387616,255689
977.685240436826,0.180375982283891,399137,263479
981.468339111907,0.179664683899775,409001,270433
985.247108522864,0.179218849696173,417243,276166
989.021548669698,0.178558799813368,423873,280981
994.047401121285,0.177514641629895,429847,285627
997.811739651831,0.177197391256178,433813,288473
1001.57174891825,0.175724731852072,437040,291606
1005.32742892055,0.175843974216355,438938,292792
1009.07877965873,0.175517274050936,440446,294019
1012.82580113278,0.174562648546737,441724,295521
1016.56849334271,0.174250220446407,442546,296284
1021.55201521176,0.172932355724651,442456,297124
1025.2846058054,0.172787306210416,442079,296970
1029.01286713492,0.172063088589969,441387,297000
1032.73679920031,0.171638714152869,440316,296569
1036.45640200158,0.170960901230162,439278,296332
1040.17167553873,0.170277164802482,439660,297057
1045.1186391774,0.16961326224139,440413,298021
1048.82381109826,0.169052874408484,439789,297983
1052.524653755,0.168401883669651,439789,298430
1056.22116714761,0.167921276980719,440913,299524
1059.9133512761,0.16748097618566,442150,300669
1063.60120614046,0.166930276569303,442537,301314
1067.28473174071,0.166397549152538,443124,302084
1072.18936479684,0.165859473729084,444959,303711
1075.86278878079,0.165202821991326,446797,305427
1079.53188350063,0.165190491646572,449413,307224
1083.19664895633,0.164661741076461,451629,309115
1086.85708514792,0.16403476626051,453694,310977
1090.51319207538,0.163322369301717,454723,312194
1094.16496973872,0.162986394347289,456211,313458
1099.02727221231,0.16299820098993,458785,315218
1102.66894825936,0.162208734405244,460500,316972
1106.30629504229,0.162103991423186,463076,318822
1109.93931256109,0.161467538700382,464949,320581
1113.56800081577,0.161187545044488,467151,322307
1117.19235980633,0.161102382477671,469762,324172
