***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,FolHerbario,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,20,,,,,,Num Repeats:,20,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,42.71,,,,,,System Temp (C):,42.45,,,,,,,
Humidity (%):,41.84,,,,,,Humidity (%):,43.11,,,,,,,
Lamp ADC:,3066,3081,829,851,,,Lamp ADC:,3066,3081,829,852,,,,
Data Date-Time:,2025/04/03T11:28:12,,,,,,Data Date-Time:,2025/04/03T11:26:08,,,,,,,
Total Measurement Time in sec:,6.4957342,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,0.392694521123758,0.0064508848494657,-3.36963000867986E-05,,,,,
Serial Number:,C23R003,(95UB125GC0VC23R003),,,,,Pixel to Wavelength Coefficients:,1737.96619343203,-0.927679554192883,-0.000240514673521399,,,,,
GUI Version:,3.13.1,Revision:,930,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.3.1,,,,,,Total Time(hh:mm:ss):,14min 41sec ,,,,,,,
UUID:,DE:67:0C:88:67:47:5F:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,F,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,C,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.114121469303,0.266891053874601,104720,56642
904.983805426851,0.264535962460545,113059,61485
908.849160120276,0.26339314001873,121211,66092
913.996231967317,0.260785448902898,132807,72851
917.851485044454,0.262434248412885,144149,78773
921.702408857468,0.260186448487231,157266,86387
925.549003406358,0.25919730271788,173268,95394
929.391268691125,0.259153582402941,191779,105596
933.229204711769,0.257681162077538,211507,116854
937.062811468289,0.257773788154508,232149,128231
942.16755273279,0.256214978309495,258053,143052
945.991057873023,0.255100821476268,276180,153494
949.810233749132,0.254741796295469,293110,163038
953.625080361117,0.253545635683836,309474,172615
957.435597708979,0.253379448008205,325883,181837
961.241785792718,0.25343484823864,341436,190491
966.309968826844,0.252679879184305,361180,201857
970.106055294295,0.25253617653043,375159,209739
973.897812497622,0.251465764528784,387375,217103
977.685240436826,0.251725146649229,398681,223306
981.468339111907,0.251509096911663,408929,229160
985.247108522864,0.250825599250097,417082,234097
989.021548669698,0.250758123900841,423334,237643
994.047401121285,0.250269619832235,429650,241460
997.811739651831,0.249719517529416,433421,243888
1001.57174891825,0.249132133858994,436894,246175
1005.32742892055,0.249471596969947,438502,246888
1009.07877965873,0.249090088077136,440179,248050
1012.82580113278,0.248624525468221,441301,248949
1016.56849334271,0.248330128068527,442141,249592
1021.55201521176,0.248246374850231,442371,249770
1025.2846058054,0.247425454063074,441799,249919
1029.01286713492,0.247538483207392,440823,249302
1032.73679920031,0.247255422799632,439912,248949
1036.45640200158,0.247290355796224,439138,248491
1040.17167553873,0.24682082437609,439299,248851
1045.1186391774,0.246607453204131,439789,249251
1048.82381109826,0.246587877721525,439471,249082
1052.524653755,0.246690933896595,439510,249045
1056.22116714761,0.246466723082659,440853,249935
1059.9133512761,0.246155797189201,441692,250590
1063.60120614046,0.245800652953251,442245,251109
1067.28473174071,0.246545441884796,443057,251139
1072.18936479684,0.245630023354419,444881,252705
1075.86278878079,0.245696929874588,446499,253585
1079.53188350063,0.245849948896592,449198,255028
1083.19664895633,0.245601167943615,451319,256379
1086.85708514792,0.24552568941396,453592,257715
1090.51319207538,0.244792076349993,454703,258783
1094.16496973872,0.245687297108674,456298,259156
1099.02727221231,0.245153524633585,458407,260674
1102.66894825936,0.24490065551019,460671,262114
1106.30629504229,0.244881973719219,462732,263298
1109.93931256109,0.244633333646548,464675,264555
1113.56800081577,0.245085634299013,466819,265499
1117.19235980633,0.244391354910129,469184,267271
